date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
30/09/2024,Parma,Cagliari,2,3,A,18,11,4,4,2.1,3.6,3.4,Serie A,2024/25
04/10/2024,Napoli,Como,3,1,H,9,11,6,2,1.45,4.33,7.0,Serie A,2024/25
04/10/2024,Verona,Venezia,2,1,H,13,11,4,2,2.5,3.2,2.9,Serie A,2024/25
05/10/2024,Udinese,Lecce,1,0,H,13,9,4,3,2.2,3.3,3.3,Serie A,2024/25
05/10/2024,Atalanta,Genoa,5,1,H,23,7,8,2,1.45,4.75,6.5,Serie A,2024/25
05/10/2024,Inter,Torino,3,2,H,29,7,8,5,1.3,5.0,11.0,Serie A,2024/25
06/10/2024,Juventus,Cagliari,1,1,D,21,9,9,2,1.38,5.0,8.0,Serie A,2024/25
06/10/2024,Bologna,Parma,0,0,D,19,13,3,2,1.8,3.7,4.33,Serie A,2024/25
06/10/2024,Lazio,Empoli,2,1,H,16,7,6,2,1.57,4.0,6.0,Serie A,2024/25
06/10/2024,Monza,Roma,1,1,D,3,15,3,4,4.2,3.4,1.91,Serie A,2024/25
06/10/2024,Fiorentina,Milan,2,1,H,12,16,3,8,3.1,3.6,2.2,Serie A,2024/25
19/10/2024,Como,Parma,1,1,D,11,9,3,3,1.95,3.6,3.8,Serie A,2024/25
19/10/2024,Genoa,Bologna,2,2,D,10,12,4,7,3.75,3.1,2.15,Serie A,2024/25
19/10/2024,Milan,Udinese,1,0,H,10,13,5,1,1.38,4.75,8.5,Serie A,2024/25
19/10/2024,Juventus,Lazio,1,0,H,16,2,3,1,2.05,3.3,3.8,Serie A,2024/25
20/10/2024,Empoli,Napoli,0,1,A,11,9,4,1,6.0,3.5,1.67,Serie A,2024/25
20/10/2024,Lecce,Fiorentina,0,6,A,5,19,2,11,3.2,3.3,2.3,Serie A,2024/25
20/10/2024,Venezia,Atalanta,0,2,A,12,16,4,7,5.5,4.0,1.62,Serie A,2024/25
20/10/2024,Cagliari,Torino,3,2,H,18,17,5,5,2.8,3.1,2.7,Serie A,2024/25
20/10/2024,Roma,Inter,0,1,A,14,11,3,6,4.2,3.7,1.85,Serie A,2024/25
21/10/2024,Verona,Monza,0,3,A,16,10,4,4,2.3,3.0,3.5,Serie A,2024/25
25/10/2024,Udinese,Cagliari,2,0,H,13,3,4,0,2.2,3.3,3.3,Serie A,2024/25
25/10/2024,Torino,Como,1,0,H,8,20,2,6,2.63,3.0,2.9,Serie A,2024/25
26/10/2024,Napoli,Lecce,1,0,H,24,11,8,2,1.25,6.0,12.0,Serie A,2024/25
26/10/2024,Atalanta,Verona,6,1,H,19,4,10,2,1.38,4.75,8.0,Serie A,2024/25
27/10/2024,Parma,Empoli,1,1,D,17,6,4,2,2.15,3.3,3.5,Serie A,2024/25
27/10/2024,Lazio,Genoa,3,0,H,18,6,4,2,1.53,4.2,6.25,Serie A,2024/25
27/10/2024,Monza,Venezia,2,2,D,13,6,2,2,2.15,3.25,3.6,Serie A,2024/25
27/10/2024,Inter,Juventus,4,4,D,18,10,9,5,1.72,3.5,5.0,Serie A,2024/25
27/10/2024,Fiorentina,Roma,5,1,H,21,14,10,5,2.55,3.4,2.75,Serie A,2024/25
29/10/2024,Cagliari,Bologna,0,2,A,14,11,2,4,3.0,3.25,2.35,Serie A,2024/25
29/10/2024,Lecce,Verona,1,0,H,14,7,6,1,2.25,3.25,3.25,Serie A,2024/25
29/10/2024,Milan,Napoli,0,2,A,13,9,5,4,2.45,3.4,2.8,Serie A,2024/25
30/10/2024,Empoli,Inter,0,3,A,6,15,1,5,7.5,4.33,1.44,Serie A,2024/25
30/10/2024,Venezia,Udinese,3,2,H,18,15,7,5,2.7,3.25,2.65,Serie A,2024/25
30/10/2024,Atalanta,Monza,2,0,H,16,4,6,3,1.3,5.0,10.0,Serie A,2024/25
30/10/2024,Juventus,Parma,2,2,D,24,13,6,5,1.4,4.75,8.0,Serie A,2024/25
31/10/2024,Genoa,Fiorentina,0,1,A,14,12,4,4,4.2,3.9,1.8,Serie A,2024/25
31/10/2024,Como,Lazio,1,5,A,14,14,2,7,2.88,3.3,2.45,Serie A,2024/25
31/10/2024,Roma,Torino,1,0,H,10,4,3,2,1.7,3.8,5.0,Serie A,2024/25
02/11/2024,Bologna,Lecce,1,0,H,20,6,4,0,1.62,3.5,6.5,Serie A,2024/25
02/11/2024,Udinese,Juventus,0,2,A,11,11,2,5,4.2,3.2,1.95,Serie A,2024/25
02/11/2024,Monza,Milan,0,1,A,12,18,2,7,5.0,3.6,1.7,Serie A,2024/25
03/11/2024,Napoli,Atalanta,0,3,A,13,12,3,3,2.05,3.4,3.7,Serie A,2024/25
03/11/2024,Torino,Fiorentina,0,1,A,9,8,1,3,3.2,3.3,2.25,Serie A,2024/25
03/11/2024,Verona,Roma,3,2,H,7,14,3,3,5.0,3.5,1.8,Serie A,2024/25
03/11/2024,Inter,Venezia,1,0,H,20,7,8,2,1.17,7.0,15.0,Serie A,2024/25
04/11/2024,Empoli,Como,1,0,H,9,12,4,2,2.7,3.1,2.63,Serie A,2024/25
04/11/2024,Parma,Genoa,0,1,A,13,15,0,7,1.85,3.4,4.33,Serie A,2024/25
04/11/2024,Lazio,Cagliari,2,1,H,20,6,5,1,1.5,3.75,7.5,Serie A,2024/25
07/11/2024,Genoa,Como,1,1,D,8,18,4,8,2.88,3.3,2.45,Serie A,2024/25
08/11/2024,Lecce,Empoli,1,1,D,18,11,3,6,2.4,3.0,3.3,Serie A,2024/25
09/11/2024,Venezia,Parma,1,2,A,12,10,6,3,2.55,3.4,2.7,Serie A,2024/25
09/11/2024,Cagliari,Milan,3,3,D,16,13,7,6,5.5,4.1,1.6,Serie A,2024/25
09/11/2024,Juventus,Torino,2,0,H,13,6,4,1,1.57,3.8,6.5,Serie A,2024/25
10/11/2024,Atalanta,Udinese,2,1,H,11,11,4,6,1.38,5.0,7.5,Serie A,2024/25
10/11/2024,Fiorentina,Verona,3,1,H,11,8,6,2,1.44,4.5,7.0,Serie A,2024/25
10/11/2024,Roma,Bologna,2,3,A,15,15,5,4,2.05,3.4,3.6,Serie A,2024/25
10/11/2024,Monza,Lazio,0,1,A,12,14,2,6,4.1,3.8,1.83,Serie A,2024/25
10/11/2024,Inter,Napoli,1,1,D,13,5,4,2,1.85,3.7,4.1,Serie A,2024/25
23/11/2024,Verona,Inter,0,5,A,9,12,2,7,7.0,5.25,1.38,Serie A,2024/25
23/11/2024,Milan,Juventus,0,0,D,6,7,1,2,2.15,3.3,3.5,Serie A,2024/25
23/11/2024,Parma,Atalanta,1,3,A,9,15,3,6,5.0,4.2,1.62,Serie A,2024/25
24/11/2024,Genoa,Cagliari,2,2,D,20,17,6,6,2.63,3.1,2.9,Serie A,2024/25
24/11/2024,Como,Fiorentina,0,2,A,10,8,4,4,3.3,3.1,2.3,Serie A,2024/25
24/11/2024,Torino,Monza,1,1,D,12,9,5,6,2.0,3.0,4.33,Serie A,2024/25
24/11/2024,Napoli,Roma,1,0,H,14,6,2,1,1.73,3.6,5.0,Serie A,2024/25
24/11/2024,Lazio,Bologna,3,0,H,13,3,4,1,1.9,3.5,4.2,Serie A,2024/25
25/11/2024,Empoli,Udinese,1,1,D,4,16,2,3,2.8,2.9,2.8,Serie A,2024/25
