date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
19/08/2023,Empoli,Verona,0,1,A,10,10,4,4,2.25,3.2,3.3,Serie A,2023/24
19/08/2023,Frosinone,Napoli,1,3,A,4,19,1,8,8.5,5.0,1.36,Serie A,2023/24
19/08/2023,Genoa,Fiorentina,1,4,A,4,9,2,5,3.4,3.25,2.2,Serie A,2023/24
19/08/2023,Inter,Monza,2,0,H,22,12,3,2,1.4,5.0,7.0,Serie A,2023/24
20/08/2023,Roma,Salernitana,2,2,D,13,3,3,2,1.53,4.0,6.5,Serie A,2023/24
20/08/2023,Sassuolo,Atalanta,0,2,A,11,16,3,6,3.5,3.4,2.1,Serie A,2023/24
20/08/2023,Lecce,Lazio,2,1,H,23,10,7,4,3.6,3.3,2.1,Serie A,2023/24
20/08/2023,Udinese,Juventus,0,3,A,18,9,5,4,4.33,3.6,1.83,Serie A,2023/24
21/08/2023,Torino,Cagliari,0,0,D,11,8,2,2,1.67,3.75,5.25,Serie A,2023/24
21/08/2023,Bologna,Milan,0,2,A,17,10,5,6,4.0,3.4,1.95,Serie A,2023/24
26/08/2023,Frosinone,Atalanta,2,1,H,13,18,5,6,5.0,4.0,1.67,Serie A,2023/24
26/08/2023,Monza,Empoli,2,0,H,20,18,5,6,1.91,3.5,4.2,Serie A,2023/24
26/08/2023,Milan,Torino,4,1,H,17,8,7,1,1.65,3.8,5.0,Serie A,2023/24
26/08/2023,Verona,Roma,2,1,H,5,23,3,7,4.33,3.5,1.83,Serie A,2023/24
27/08/2023,Fiorentina,Lecce,2,2,D,9,6,4,2,1.57,4.2,5.75,Serie A,2023/24
27/08/2023,Juventus,Bologna,1,1,D,14,9,3,4,1.5,4.5,6.0,Serie A,2023/24
27/08/2023,Lazio,Genoa,0,1,A,16,5,2,3,1.55,4.0,6.0,Serie A,2023/24
27/08/2023,Napoli,Sassuolo,2,0,H,25,6,5,1,1.33,5.5,8.5,Serie A,2023/24
28/08/2023,Salernitana,Udinese,1,1,D,9,14,4,6,2.7,3.2,2.63,Serie A,2023/24
28/08/2023,Cagliari,Inter,0,2,A,12,17,2,3,7.5,4.5,1.44,Serie A,2023/24
01/09/2023,Sassuolo,Verona,3,1,H,16,11,7,3,2.0,3.6,3.75,Serie A,2023/24
01/09/2023,Roma,Milan,1,2,A,13,9,2,4,2.8,3.1,2.63,Serie A,2023/24
02/09/2023,Bologna,Cagliari,2,1,H,16,7,7,1,1.7,3.75,5.0,Serie A,2023/24
02/09/2023,Udinese,Frosinone,0,0,D,12,12,6,2,1.8,3.6,4.5,Serie A,2023/24
02/09/2023,Atalanta,Monza,3,0,H,18,8,8,2,1.62,4.0,5.25,Serie A,2023/24
02/09/2023,Napoli,Lazio,1,2,A,22,6,4,2,1.62,4.0,5.5,Serie A,2023/24
03/09/2023,Inter,Fiorentina,4,0,H,21,6,11,2,1.65,3.8,5.25,Serie A,2023/24
03/09/2023,Torino,Genoa,1,0,H,10,7,3,2,2.0,3.3,4.0,Serie A,2023/24
03/09/2023,Empoli,Juventus,0,2,A,7,18,0,5,5.25,3.8,1.67,Serie A,2023/24
03/09/2023,Lecce,Salernitana,2,0,H,20,11,6,4,2.0,3.3,4.0,Serie A,2023/24
16/09/2023,Juventus,Lazio,3,1,H,17,16,7,5,1.91,3.4,4.33,Serie A,2023/24
16/09/2023,Inter,Milan,5,1,H,14,9,7,2,2.15,3.5,3.4,Serie A,2023/24
16/09/2023,Genoa,Napoli,2,2,D,8,12,3,4,5.5,3.8,1.67,Serie A,2023/24
17/09/2023,Cagliari,Udinese,0,0,D,10,11,1,1,2.88,3.3,2.5,Serie A,2023/24
17/09/2023,Frosinone,Sassuolo,4,2,H,16,18,6,7,2.8,3.4,2.5,Serie A,2023/24
17/09/2023,Monza,Lecce,1,1,D,25,4,6,3,2.1,3.4,3.5,Serie A,2023/24
17/09/2023,Fiorentina,Atalanta,3,2,H,15,11,8,4,2.38,3.5,2.88,Serie A,2023/24
17/09/2023,Roma,Empoli,7,0,H,14,8,9,2,1.44,4.5,7.5,Serie A,2023/24
18/09/2023,Salernitana,Torino,0,3,A,14,11,4,3,3.6,3.25,2.2,Serie A,2023/24
18/09/2023,Verona,Bologna,0,0,D,9,11,1,4,3.1,3.3,2.38,Serie A,2023/24
22/09/2023,Salernitana,Frosinone,1,1,D,19,9,6,3,2.5,3.2,2.9,Serie A,2023/24
22/09/2023,Lecce,Genoa,1,0,H,18,8,3,1,2.45,3.2,3.1,Serie A,2023/24
23/09/2023,Milan,Verona,1,0,H,9,10,4,2,1.36,4.75,9.0,Serie A,2023/24
23/09/2023,Sassuolo,Juventus,4,2,H,18,15,7,2,4.0,4.0,1.8,Serie A,2023/24
23/09/2023,Lazio,Monza,1,1,D,8,16,1,4,1.8,3.8,4.2,Serie A,2023/24
24/09/2023,Empoli,Inter,0,1,A,7,23,1,6,9.0,5.25,1.33,Serie A,2023/24
24/09/2023,Atalanta,Cagliari,2,0,H,10,11,6,1,1.4,5.0,8.0,Serie A,2023/24
24/09/2023,Udinese,Fiorentina,0,2,A,20,6,8,2,3.2,3.5,2.25,Serie A,2023/24
24/09/2023,Bologna,Napoli,0,0,D,5,12,2,4,3.75,3.6,1.91,Serie A,2023/24
24/09/2023,Torino,Roma,1,1,D,13,11,4,3,3.1,2.9,2.6,Serie A,2023/24
26/09/2023,Juventus,Lecce,1,0,H,14,2,5,0,1.5,4.2,7.0,Serie A,2023/24
27/09/2023,Cagliari,Milan,1,3,A,16,17,6,6,5.25,3.8,1.67,Serie A,2023/24
27/09/2023,Empoli,Salernitana,1,0,H,13,14,6,2,2.3,3.3,3.2,Serie A,2023/24
27/09/2023,Verona,Atalanta,0,1,A,11,8,2,2,4.2,3.75,1.83,Serie A,2023/24
27/09/2023,Inter,Sassuolo,1,2,A,13,13,3,6,1.33,5.5,8.0,Serie A,2023/24
27/09/2023,Lazio,Torino,2,0,H,6,7,3,2,2.15,3.25,3.5,Serie A,2023/24
27/09/2023,Napoli,Udinese,4,1,H,23,13,10,3,1.36,5.0,8.5,Serie A,2023/24
28/09/2023,Frosinone,Fiorentina,1,1,D,11,19,3,6,3.75,3.6,1.95,Serie A,2023/24
28/09/2023,Monza,Bologna,0,0,D,12,7,3,5,2.38,3.3,3.0,Serie A,2023/24
28/09/2023,Genoa,Roma,4,1,H,8,13,4,3,3.8,3.25,2.05,Serie A,2023/24
30/09/2023,Lecce,Napoli,0,4,A,9,15,4,6,4.75,3.8,1.75,Serie A,2023/24
30/09/2023,Milan,Lazio,2,0,H,14,13,7,4,1.73,3.6,5.0,Serie A,2023/24
30/09/2023,Salernitana,Inter,0,4,A,12,16,3,6,8.0,4.75,1.4,Serie A,2023/24
