date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
19/08/17,Juventus,Cagliari,3,0,H,17,5,7,2,1.14,8.0,19.0,Serie A,2017/18
19/08/17,Verona,Napoli,1,3,A,12,22,4,12,8.0,4.75,1.4,Serie A,2017/18
20/08/17,Atalanta,Roma,0,1,A,14,6,6,1,3.2,3.3,2.3,Serie A,2017/18
20/08/17,Bologna,Torino,1,1,D,13,9,3,3,3.1,3.3,2.38,Serie A,2017/18
20/08/17,Crotone,Milan,0,3,A,6,19,2,10,6.0,4.0,1.57,Serie A,2017/18
20/08/17,Inter,Fiorentina,3,0,H,16,15,6,3,1.57,4.0,6.0,Serie A,2017/18
20/08/17,Lazio,Spal,0,0,D,23,9,13,2,1.29,5.5,11.0,Serie A,2017/18
20/08/17,Sampdoria,Benevento,2,1,H,16,18,6,7,1.67,3.75,5.5,Serie A,2017/18
20/08/17,Sassuolo,Genoa,0,0,D,14,12,3,4,2.2,3.25,3.5,Serie A,2017/18
20/08/17,Udinese,Chievo,1,2,A,18,10,5,3,2.1,3.2,3.8,Serie A,2017/18
26/08/17,Benevento,Bologna,0,1,A,15,14,5,4,2.7,3.2,2.75,Serie A,2017/18
26/08/17,Genoa,Juventus,2,4,A,9,17,3,7,9.0,4.5,1.4,Serie A,2017/18
26/08/17,Roma,Inter,1,3,A,18,14,3,8,2.3,3.5,3.0,Serie A,2017/18
27/08/17,Chievo,Lazio,1,2,A,13,13,5,3,3.5,3.2,2.2,Serie A,2017/18
27/08/17,Crotone,Verona,0,0,D,13,5,4,0,2.5,3.2,2.88,Serie A,2017/18
27/08/17,Fiorentina,Sampdoria,1,2,A,25,12,10,5,1.8,3.5,4.5,Serie A,2017/18
27/08/17,Milan,Cagliari,2,1,H,15,14,5,4,1.22,6.5,13.0,Serie A,2017/18
27/08/17,Napoli,Atalanta,3,1,H,10,14,4,2,1.4,4.75,8.0,Serie A,2017/18
27/08/17,Spal,Udinese,3,2,H,10,11,4,3,2.5,3.1,2.9,Serie A,2017/18
27/08/17,Torino,Sassuolo,3,0,H,14,19,5,2,1.75,3.6,5.0,Serie A,2017/18
09/09/17,Juventus,Chievo,3,0,H,15,15,4,2,1.17,7.5,17.0,Serie A,2017/18
10/09/17,Atalanta,Sassuolo,2,1,H,9,16,3,3,1.55,4.0,6.5,Serie A,2017/18
10/09/17,Benevento,Torino,0,1,A,15,16,5,6,4.33,3.75,1.83,Serie A,2017/18
10/09/17,Bologna,Napoli,0,3,A,5,17,2,7,10.0,5.0,1.33,Serie A,2017/18
10/09/17,Cagliari,Crotone,1,0,H,13,9,4,2,1.67,3.75,5.5,Serie A,2017/18
10/09/17,Inter,Spal,2,0,H,19,9,7,1,1.25,6.0,13.0,Serie A,2017/18
10/09/17,Lazio,Milan,4,1,H,12,18,7,6,2.45,3.4,2.9,Serie A,2017/18
10/09/17,Udinese,Genoa,1,0,H,14,12,5,2,2.38,3.2,3.2,Serie A,2017/18
10/09/17,Verona,Fiorentina,0,5,A,14,20,2,10,3.4,3.3,2.2,Serie A,2017/18
16/09/17,Crotone,Inter,0,2,A,12,7,4,3,10.0,5.0,1.33,Serie A,2017/18
16/09/17,Fiorentina,Bologna,2,1,H,14,6,4,2,1.55,4.2,6.0,Serie A,2017/18
16/09/17,Roma,Verona,3,0,H,30,8,10,1,1.17,7.5,17.0,Serie A,2017/18
17/09/17,Chievo,Atalanta,1,1,D,15,10,4,6,3.0,3.2,2.5,Serie A,2017/18
17/09/17,Genoa,Lazio,2,3,A,5,18,4,6,3.8,3.5,2.0,Serie A,2017/18
17/09/17,Milan,Udinese,2,1,H,21,4,7,2,1.4,4.6,8.5,Serie A,2017/18
17/09/17,Napoli,Benevento,6,0,H,27,6,14,0,1.11,10.0,19.0,Serie A,2017/18
17/09/17,Sassuolo,Juventus,1,3,A,13,14,4,6,7.5,4.33,1.45,Serie A,2017/18
17/09/17,Spal,Cagliari,0,2,A,12,11,3,3,2.38,3.3,3.1,Serie A,2017/18
17/09/17,Torino,Sampdoria,2,2,D,13,11,3,5,1.67,4.0,5.0,Serie A,2017/18
19/09/17,Bologna,Inter,1,1,D,14,11,3,3,5.75,4.0,1.6,Serie A,2017/18
20/09/17,Atalanta,Crotone,5,1,H,14,7,11,5,1.33,5.0,10.0,Serie A,2017/18
20/09/17,Benevento,Roma,0,4,A,16,21,5,7,8.0,5.25,1.36,Serie A,2017/18
20/09/17,Cagliari,Sassuolo,0,1,A,17,14,3,6,2.2,3.4,3.3,Serie A,2017/18
20/09/17,Genoa,Chievo,1,1,D,11,16,2,7,2.2,3.3,3.5,Serie A,2017/18
20/09/17,Juventus,Fiorentina,1,0,H,12,9,5,0,1.33,5.25,9.0,Serie A,2017/18
20/09/17,Lazio,Napoli,1,4,A,4,17,2,11,3.4,3.6,2.1,Serie A,2017/18
20/09/17,Milan,Spal,2,0,H,20,6,7,0,1.25,6.5,11.0,Serie A,2017/18
20/09/17,Udinese,Torino,2,3,A,16,13,6,8,2.88,3.5,2.4,Serie A,2017/18
20/09/17,Verona,Sampdoria,0,0,D,14,17,6,5,3.6,3.5,2.05,Serie A,2017/18
23/09/17,Juventus,Torino,4,0,H,23,6,10,1,1.4,4.5,8.5,Serie A,2017/18
23/09/17,Roma,Udinese,3,1,H,18,14,8,5,1.25,6.0,12.0,Serie A,2017/18
23/09/17,Spal,Napoli,2,3,A,6,21,2,12,15.0,6.0,1.22,Serie A,2017/18
