date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
23/08/2024,M'gladbach,Leverkusen,2,3,A,14.0,25.0,7.0,9.0,5.25,4.5,1.55,Bundesliga,2024/25
24/08/2024,Augsburg,Werder Bremen,2,2,D,10.0,12.0,3.0,6.0,2.2,3.6,3.1,Bundesliga,2024/25
24/08/2024,Freiburg,Stuttgart,3,1,H,15.0,9.0,4.0,2.0,3.5,3.6,2.05,Bundesliga,2024/25
24/08/2024,Hoffenheim,Holstein Kiel,3,2,H,20.0,15.0,8.0,6.0,1.65,4.5,4.5,Bundesliga,2024/25
24/08/2024,Mainz,Union Berlin,1,1,D,15.0,15.0,3.0,4.0,2.0,3.4,3.9,Bundesliga,2024/25
24/08/2024,RB Leipzig,Bochum,1,0,H,12.0,10.0,3.0,4.0,1.25,7.0,9.0,Bundesliga,2024/25
24/08/2024,Dortmund,Ein Frankfurt,2,0,H,17.0,7.0,5.0,2.0,1.7,4.1,4.5,Bundesliga,2024/25
25/08/2024,Wolfsburg,Bayern Munich,2,3,A,11.0,14.0,2.0,8.0,6.25,4.75,1.45,Bundesliga,2024/25
25/08/2024,St Pauli,Heidenheim,0,2,A,11.0,6.0,3.0,3.0,2.1,3.5,3.4,Bundesliga,2024/25
30/08/2024,Union Berlin,St Pauli,1,0,H,10.0,8.0,5.0,2.0,1.91,3.5,4.1,Bundesliga,2024/25
31/08/2024,Bochum,M'gladbach,0,2,A,16.0,15.0,4.0,6.0,2.6,3.6,2.6,Bundesliga,2024/25
31/08/2024,Ein Frankfurt,Hoffenheim,3,1,H,17.0,10.0,7.0,3.0,1.8,4.2,3.9,Bundesliga,2024/25
31/08/2024,Holstein Kiel,Wolfsburg,0,2,A,12.0,12.0,5.0,4.0,3.2,3.7,2.15,Bundesliga,2024/25
31/08/2024,Stuttgart,Mainz,3,3,D,28.0,9.0,13.0,7.0,1.62,4.33,5.25,Bundesliga,2024/25
31/08/2024,Werder Bremen,Dortmund,0,0,D,5.0,9.0,1.0,4.0,4.1,4.0,1.8,Bundesliga,2024/25
31/08/2024,Leverkusen,RB Leipzig,2,3,A,27.0,10.0,10.0,4.0,1.75,4.2,4.1,Bundesliga,2024/25
01/09/2024,Heidenheim,Augsburg,4,0,H,17.0,15.0,9.0,1.0,2.38,3.5,2.9,Bundesliga,2024/25
01/09/2024,Bayern Munich,Freiburg,2,0,H,11.0,8.0,4.0,4.0,1.2,8.0,11.0,Bundesliga,2024/25
13/09/2024,Dortmund,Heidenheim,4,2,H,13.0,11.0,7.0,4.0,1.4,5.5,6.5,Bundesliga,2024/25
14/09/2024,Freiburg,Bochum,2,1,H,27.0,13.0,9.0,2.0,1.7,3.9,5.0,Bundesliga,2024/25
14/09/2024,Hoffenheim,Leverkusen,1,4,A,14.0,20.0,5.0,8.0,5.75,4.5,1.48,Bundesliga,2024/25
14/09/2024,M'gladbach,Stuttgart,1,3,A,15.0,12.0,7.0,7.0,2.75,4.0,2.3,Bundesliga,2024/25
14/09/2024,RB Leipzig,Union Berlin,0,0,D,16.0,11.0,3.0,3.0,1.48,4.5,6.5,Bundesliga,2024/25
14/09/2024,Wolfsburg,Ein Frankfurt,1,2,A,17.0,15.0,4.0,7.0,2.63,3.6,2.5,Bundesliga,2024/25
14/09/2024,Holstein Kiel,Bayern Munich,1,6,A,5.0,23.0,1.0,13.0,11.0,7.0,1.22,Bundesliga,2024/25
15/09/2024,Augsburg,St Pauli,3,1,H,18.0,12.0,10.0,3.0,2.1,3.6,3.4,Bundesliga,2024/25
15/09/2024,Mainz,Werder Bremen,1,2,A,11.0,11.0,5.0,5.0,2.0,3.7,3.5,Bundesliga,2024/25
20/09/2024,Augsburg,Mainz,2,3,A,30.0,5.0,9.0,3.0,2.38,3.5,2.9,Bundesliga,2024/25
21/09/2024,Bochum,Holstein Kiel,2,2,D,14.0,13.0,3.0,4.0,1.91,3.5,4.0,Bundesliga,2024/25
21/09/2024,Heidenheim,Freiburg,0,3,A,7.0,14.0,2.0,5.0,2.7,3.5,2.55,Bundesliga,2024/25
21/09/2024,Union Berlin,Hoffenheim,2,1,H,12.0,6.0,2.0,3.0,2.0,3.6,3.7,Bundesliga,2024/25
21/09/2024,Werder Bremen,Bayern Munich,0,5,A,0.0,25.0,0.0,7.0,8.0,5.5,1.36,Bundesliga,2024/25
21/09/2024,Ein Frankfurt,M'gladbach,2,0,H,14.0,22.0,4.0,7.0,1.75,4.0,4.33,Bundesliga,2024/25
22/09/2024,Leverkusen,Wolfsburg,4,3,H,20.0,8.0,7.0,4.0,1.3,5.75,8.0,Bundesliga,2024/25
22/09/2024,Stuttgart,Dortmund,5,1,H,16.0,6.0,9.0,3.0,2.3,3.75,2.9,Bundesliga,2024/25
22/09/2024,St Pauli,RB Leipzig,0,0,D,15.0,10.0,4.0,5.0,5.75,3.9,1.62,Bundesliga,2024/25
27/09/2024,Dortmund,Bochum,4,2,H,23.0,10.0,8.0,6.0,1.25,7.0,9.0,Bundesliga,2024/25
28/09/2024,Freiburg,St Pauli,0,3,A,6.0,10.0,2.0,4.0,1.62,4.0,5.5,Bundesliga,2024/25
28/09/2024,Mainz,Heidenheim,0,2,A,7.0,14.0,2.0,7.0,1.83,3.75,4.2,Bundesliga,2024/25
28/09/2024,M'gladbach,Union Berlin,1,0,H,8.0,9.0,3.0,3.0,2.1,3.5,3.4,Bundesliga,2024/25
28/09/2024,RB Leipzig,Augsburg,4,0,H,14.0,7.0,7.0,1.0,1.4,5.25,6.5,Bundesliga,2024/25
28/09/2024,Wolfsburg,Stuttgart,2,2,D,5.0,17.0,2.0,5.0,3.2,3.9,2.05,Bundesliga,2024/25
28/09/2024,Bayern Munich,Leverkusen,1,1,D,18.0,3.0,3.0,3.0,1.73,4.33,4.2,Bundesliga,2024/25
29/09/2024,Holstein Kiel,Ein Frankfurt,2,4,A,10.0,18.0,5.0,10.0,4.2,4.2,1.73,Bundesliga,2024/25
29/09/2024,Hoffenheim,Werder Bremen,3,4,A,10.0,18.0,5.0,10.0,2.38,3.8,2.7,Bundesliga,2024/25
04/10/2024,Augsburg,M'gladbach,2,1,H,13.0,11.0,5.0,5.0,2.38,3.7,2.7,Bundesliga,2024/25
05/10/2024,Bochum,Wolfsburg,1,3,A,17.0,15.0,5.0,5.0,3.0,3.7,2.2,Bundesliga,2024/25
05/10/2024,Leverkusen,Holstein Kiel,2,2,D,24.0,8.0,7.0,4.0,1.09,11.0,21.0,Bundesliga,2024/25
05/10/2024,Union Berlin,Dortmund,2,1,H,13.0,9.0,5.0,5.0,3.3,3.5,2.15,Bundesliga,2024/25
05/10/2024,Werder Bremen,Freiburg,0,1,A,11.0,13.0,3.0,3.0,2.6,3.5,2.6,Bundesliga,2024/25
05/10/2024,St Pauli,Mainz,0,3,A,17.0,8.0,4.0,4.0,2.4,3.3,2.9,Bundesliga,2024/25
06/10/2024,Heidenheim,RB Leipzig,0,1,A,15.0,12.0,4.0,2.0,4.5,4.33,1.67,Bundesliga,2024/25
06/10/2024,Ein Frankfurt,Bayern Munich,3,3,D,5.0,22.0,4.0,13.0,5.5,4.5,1.53,Bundesliga,2024/25
06/10/2024,Stuttgart,Hoffenheim,1,1,D,18.0,7.0,7.0,5.0,1.3,6.0,8.0,Bundesliga,2024/25
18/10/2024,Dortmund,St Pauli,2,1,H,20.0,10.0,7.0,3.0,1.3,5.25,9.5,Bundesliga,2024/25
19/10/2024,Freiburg,Augsburg,3,1,H,15.0,9.0,6.0,3.0,1.73,3.75,4.75,Bundesliga,2024/25
19/10/2024,Hoffenheim,Bochum,3,1,H,12.0,13.0,7.0,4.0,1.7,4.5,4.2,Bundesliga,2024/25
19/10/2024,Leverkusen,Ein Frankfurt,2,1,H,27.0,9.0,9.0,2.0,1.44,4.75,6.5,Bundesliga,2024/25
19/10/2024,Mainz,RB Leipzig,0,2,A,16.0,11.0,2.0,5.0,3.9,3.8,1.85,Bundesliga,2024/25
19/10/2024,M'gladbach,Heidenheim,3,2,H,20.0,19.0,10.0,6.0,1.85,3.7,4.1,Bundesliga,2024/25
19/10/2024,Bayern Munich,Stuttgart,4,0,H,22.0,4.0,10.0,1.0,1.36,5.25,7.5,Bundesliga,2024/25
20/10/2024,Holstein Kiel,Union Berlin,0,2,A,12.0,14.0,5.0,4.0,3.5,3.3,2.15,Bundesliga,2024/25
20/10/2024,Wolfsburg,Werder Bremen,2,4,A,14.0,15.0,6.0,7.0,2.1,3.6,3.3,Bundesliga,2024/25
25/10/2024,Mainz,M'gladbach,1,1,D,23.0,9.0,6.0,5.0,2.3,3.75,2.8,Bundesliga,2024/25
26/10/2024,Augsburg,Dortmund,2,1,H,12.0,11.0,4.0,4.0,3.6,4.0,1.9,Bundesliga,2024/25
26/10/2024,RB Leipzig,Freiburg,3,1,H,12.0,15.0,9.0,5.0,1.73,4.1,4.5,Bundesliga,2024/25
26/10/2024,St Pauli,Wolfsburg,0,0,D,14.0,10.0,5.0,4.0,2.55,3.5,2.63,Bundesliga,2024/25
26/10/2024,Stuttgart,Holstein Kiel,2,1,H,16.0,9.0,6.0,3.0,1.22,7.5,9.5,Bundesliga,2024/25
26/10/2024,Werder Bremen,Leverkusen,2,2,D,13.0,15.0,8.0,6.0,5.25,5.0,1.5,Bundesliga,2024/25
27/10/2024,Bochum,Bayern Munich,0,5,A,6.0,17.0,2.0,9.0,12.0,9.5,1.17,Bundesliga,2024/25
27/10/2024,Union Berlin,Ein Frankfurt,1,1,D,13.0,17.0,4.0,5.0,2.55,3.3,2.75,Bundesliga,2024/25
27/10/2024,Heidenheim,Hoffenheim,0,0,D,17.0,12.0,3.0,4.0,2.25,3.5,3.1,Bundesliga,2024/25
01/11/2024,Leverkusen,Stuttgart,0,0,D,19.0,4.0,5.0,1.0,1.55,4.75,5.25,Bundesliga,2024/25
02/11/2024,Bayern Munich,Union Berlin,3,0,H,16.0,8.0,7.0,1.0,1.18,7.5,13.0,Bundesliga,2024/25
02/11/2024,Ein Frankfurt,Bochum,7,2,H,18.0,11.0,9.0,8.0,1.33,5.75,7.5,Bundesliga,2024/25
02/11/2024,Hoffenheim,St Pauli,0,2,A,12.0,7.0,6.0,3.0,1.83,3.8,4.0,Bundesliga,2024/25
02/11/2024,Holstein Kiel,Heidenheim,1,0,H,11.0,17.0,6.0,4.0,2.7,3.5,2.45,Bundesliga,2024/25
