date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
18/09/2020,Bayern Munich,Schalke 04,8,0,H,22,5,12,1,1.1,11.0,21.0,Bundesliga,2020/21
19/09/2020,Ein Frankfurt,Bielefeld,1,1,D,18,14,6,4,1.61,4.2,5.25,Bundesliga,2020/21
19/09/2020,FC Koln,Hoffenheim,2,3,A,13,13,6,7,2.6,3.5,2.6,Bundesliga,2020/21
19/09/2020,Stuttgart,Freiburg,2,3,A,22,7,7,6,2.25,3.5,3.1,Bundesliga,2020/21
19/09/2020,Union Berlin,Augsburg,1,3,A,13,9,3,5,2.3,3.3,3.2,Bundesliga,2020/21
19/09/2020,Werder Bremen,Hertha,1,4,A,17,13,7,6,2.6,3.5,2.62,Bundesliga,2020/21
19/09/2020,Dortmund,M'gladbach,3,0,H,9,8,4,2,1.6,4.33,5.0,Bundesliga,2020/21
20/09/2020,RB Leipzig,Mainz,3,1,H,23,8,10,1,1.33,5.75,8.0,Bundesliga,2020/21
20/09/2020,Wolfsburg,Leverkusen,0,0,D,9,6,1,2,2.87,3.5,2.37,Bundesliga,2020/21
25/09/2020,Hertha,Ein Frankfurt,1,3,A,12,10,6,3,2.25,3.75,2.9,Bundesliga,2020/21
26/09/2020,Augsburg,Dortmund,2,0,H,6,16,4,7,7.0,4.75,1.44,Bundesliga,2020/21
26/09/2020,Bielefeld,FC Koln,1,0,H,7,12,3,2,2.62,3.5,2.6,Bundesliga,2020/21
26/09/2020,Leverkusen,RB Leipzig,1,1,D,11,7,4,2,3.0,3.5,2.3,Bundesliga,2020/21
26/09/2020,Mainz,Stuttgart,1,4,A,11,15,3,7,2.37,3.5,2.9,Bundesliga,2020/21
26/09/2020,M'gladbach,Union Berlin,1,1,D,14,15,5,2,1.44,4.5,7.5,Bundesliga,2020/21
26/09/2020,Schalke 04,Werder Bremen,1,3,A,17,17,4,8,2.5,3.4,2.8,Bundesliga,2020/21
27/09/2020,Hoffenheim,Bayern Munich,4,1,H,17,14,8,2,11.0,7.5,1.2,Bundesliga,2020/21
27/09/2020,Freiburg,Wolfsburg,1,1,D,21,8,7,2,3.2,3.3,2.3,Bundesliga,2020/21
02/10/2020,Union Berlin,Mainz,4,0,H,13,5,7,0,2.05,3.6,3.4,Bundesliga,2020/21
03/10/2020,Dortmund,Freiburg,4,0,H,16,6,7,2,1.28,6.0,9.0,Bundesliga,2020/21
03/10/2020,Ein Frankfurt,Hoffenheim,2,1,H,16,11,6,4,2.37,3.7,2.8,Bundesliga,2020/21
03/10/2020,FC Koln,M'gladbach,1,3,A,8,17,3,11,3.8,4.0,1.85,Bundesliga,2020/21
03/10/2020,Stuttgart,Leverkusen,1,1,D,11,15,2,7,3.8,3.8,1.85,Bundesliga,2020/21
03/10/2020,Werder Bremen,Bielefeld,1,0,H,7,10,2,5,2.15,3.5,3.3,Bundesliga,2020/21
03/10/2020,RB Leipzig,Schalke 04,4,0,H,21,4,7,1,1.25,6.5,10.0,Bundesliga,2020/21
04/10/2020,Wolfsburg,Augsburg,0,0,D,17,9,6,1,2.0,3.6,3.7,Bundesliga,2020/21
04/10/2020,Bayern Munich,Hertha,4,3,H,22,9,9,5,1.16,8.0,15.0,Bundesliga,2020/21
17/10/2020,Augsburg,RB Leipzig,0,2,A,6,15,2,6,5.75,4.5,1.53,Bundesliga,2020/21
17/10/2020,Freiburg,Werder Bremen,1,1,D,19,14,4,4,2.25,3.5,3.1,Bundesliga,2020/21
17/10/2020,Hertha,Stuttgart,0,2,A,16,7,4,2,2.05,3.8,3.3,Bundesliga,2020/21
17/10/2020,Hoffenheim,Dortmund,0,1,A,8,15,3,5,4.0,4.33,1.75,Bundesliga,2020/21
17/10/2020,Mainz,Leverkusen,0,1,A,5,9,0,4,5.5,4.33,1.57,Bundesliga,2020/21
17/10/2020,Bielefeld,Bayern Munich,1,4,A,11,16,5,10,13.0,8.5,1.16,Bundesliga,2020/21
17/10/2020,M'gladbach,Wolfsburg,1,1,D,13,14,2,5,1.85,3.8,4.0,Bundesliga,2020/21
18/10/2020,FC Koln,Ein Frankfurt,1,1,D,9,16,5,4,3.2,3.8,2.1,Bundesliga,2020/21
18/10/2020,Schalke 04,Union Berlin,1,1,D,8,13,4,7,2.75,3.25,2.6,Bundesliga,2020/21
23/10/2020,Stuttgart,FC Koln,1,1,D,9,14,4,4,1.85,3.8,3.8,Bundesliga,2020/21
24/10/2020,Bayern Munich,Ein Frankfurt,5,0,H,20,9,10,2,1.16,7.5,9.0,Bundesliga,2020/21
24/10/2020,Mainz,M'gladbach,2,3,A,15,21,7,12,4.75,4.33,1.61,Bundesliga,2020/21
24/10/2020,RB Leipzig,Hertha,2,1,H,29,11,8,3,1.4,4.5,7.0,Bundesliga,2020/21
24/10/2020,Union Berlin,Freiburg,1,1,D,22,8,7,4,2.3,3.3,3.1,Bundesliga,2020/21
24/10/2020,Dortmund,Schalke 04,3,0,H,17,3,7,0,1.16,6.5,12.0,Bundesliga,2020/21
25/10/2020,Wolfsburg,Bielefeld,2,1,H,14,8,4,1,1.65,3.75,5.25,Bundesliga,2020/21
25/10/2020,Werder Bremen,Hoffenheim,1,1,D,5,15,2,6,3.0,3.75,2.2,Bundesliga,2020/21
26/10/2020,Leverkusen,Augsburg,3,1,H,15,7,7,3,1.6,4.2,5.25,Bundesliga,2020/21
30/10/2020,Schalke 04,Stuttgart,1,1,D,9,19,2,5,3.1,3.6,2.15,Bundesliga,2020/21
31/10/2020,Augsburg,Mainz,3,1,H,14,8,7,4,2.0,3.75,3.5,Bundesliga,2020/21
31/10/2020,Bielefeld,Dortmund,0,2,A,5,21,2,10,7.5,5.0,1.4,Bundesliga,2020/21
31/10/2020,Ein Frankfurt,Werder Bremen,1,1,D,14,9,5,4,1.72,4.0,4.5,Bundesliga,2020/21
31/10/2020,FC Koln,Bayern Munich,1,2,A,9,7,2,5,12.0,8.0,1.18,Bundesliga,2020/21
31/10/2020,M'gladbach,RB Leipzig,1,0,H,5,15,4,3,3.0,3.6,2.25,Bundesliga,2020/21
01/11/2020,Freiburg,Leverkusen,2,4,A,8,18,5,7,3.8,3.5,1.95,Bundesliga,2020/21
01/11/2020,Hertha,Wolfsburg,1,1,D,18,11,5,4,2.62,3.5,2.55,Bundesliga,2020/21
02/11/2020,Hoffenheim,Union Berlin,1,3,A,10,9,5,6,1.85,4.0,3.8,Bundesliga,2020/21
06/11/2020,Werder Bremen,FC Koln,1,1,D,18,8,4,1,2.37,3.6,2.87,Bundesliga,2020/21
07/11/2020,Augsburg,Hertha,0,3,A,10,12,2,6,2.9,3.5,2.3,Bundesliga,2020/21
07/11/2020,Mainz,Schalke 04,2,2,D,14,22,7,3,2.1,3.4,3.4,Bundesliga,2020/21
07/11/2020,RB Leipzig,Freiburg,3,0,H,15,8,7,3,1.36,4.75,9.0,Bundesliga,2020/21
07/11/2020,Stuttgart,Ein Frankfurt,2,2,D,16,15,5,8,2.55,3.6,2.5,Bundesliga,2020/21
07/11/2020,Union Berlin,Bielefeld,5,0,H,9,5,8,1,1.83,3.75,4.2,Bundesliga,2020/21
07/11/2020,Dortmund,Bayern Munich,2,3,A,15,16,5,8,4.0,4.33,1.75,Bundesliga,2020/21
08/11/2020,Wolfsburg,Hoffenheim,2,1,H,14,17,8,5,2.1,3.6,3.25,Bundesliga,2020/21
08/11/2020,Leverkusen,M'gladbach,4,3,H,15,15,5,6,2.2,3.5,3.0,Bundesliga,2020/21
21/11/2020,Bayern Munich,Werder Bremen,1,1,D,15,9,3,4,1.1,10.0,23.0,Bundesliga,2020/21
21/11/2020,Bielefeld,Leverkusen,1,2,A,1,10,1,4,5.75,4.6,1.5,Bundesliga,2020/21
21/11/2020,Hoffenheim,Stuttgart,3,3,D,13,20,8,9,2.3,3.75,2.8,Bundesliga,2020/21
21/11/2020,M'gladbach,Augsburg,1,1,D,15,10,6,5,1.5,4.5,6.0,Bundesliga,2020/21
21/11/2020,Schalke 04,Wolfsburg,0,2,A,13,19,6,8,3.8,3.6,1.95,Bundesliga,2020/21
21/11/2020,Ein Frankfurt,RB Leipzig,1,1,D,8,10,3,3,3.8,4.0,1.85,Bundesliga,2020/21
21/11/2020,Hertha,Dortmund,2,5,A,9,15,3,8,4.5,4.33,1.65,Bundesliga,2020/21
22/11/2020,Freiburg,Mainz,1,3,A,19,22,6,8,2.05,3.6,3.4,Bundesliga,2020/21
22/11/2020,FC Koln,Union Berlin,1,2,A,10,10,4,3,2.7,3.4,2.6,Bundesliga,2020/21
27/11/2020,Wolfsburg,Werder Bremen,5,3,H,12,5,6,4,1.8,3.6,4.33,Bundesliga,2020/21
28/11/2020,Augsburg,Freiburg,1,1,D,10,10,2,5,2.37,3.5,2.9,Bundesliga,2020/21
28/11/2020,Dortmund,FC Koln,1,2,A,14,7,4,5,1.2,7.0,13.0,Bundesliga,2020/21
28/11/2020,RB Leipzig,Bielefeld,2,1,H,15,13,7,3,1.2,7.0,13.0,Bundesliga,2020/21
28/11/2020,Stuttgart,Bayern Munich,1,3,A,15,14,4,6,9.0,6.25,1.28,Bundesliga,2020/21
28/11/2020,Union Berlin,Ein Frankfurt,3,3,D,15,12,7,5,2.5,3.4,2.7,Bundesliga,2020/21
28/11/2020,M'gladbach,Schalke 04,4,1,H,19,13,9,2,1.33,5.25,9.0,Bundesliga,2020/21
29/11/2020,Leverkusen,Hertha,0,0,D,14,5,2,3,1.72,4.0,4.5,Bundesliga,2020/21
29/11/2020,Mainz,Hoffenheim,1,1,D,10,9,4,5,3.25,3.8,2.05,Bundesliga,2020/21
04/12/2020,Hertha,Union Berlin,3,1,H,10,4,7,1,2.5,3.5,2.75,Bundesliga,2020/21
05/12/2020,Bielefeld,Mainz,2,1,H,11,15,5,5,2.87,3.5,2.4,Bundesliga,2020/21
05/12/2020,Ein Frankfurt,Dortmund,1,1,D,9,16,1,5,3.5,4.0,1.95,Bundesliga,2020/21
05/12/2020,FC Koln,Wolfsburg,2,2,D,6,16,3,6,3.6,3.6,2.0,Bundesliga,2020/21
05/12/2020,Freiburg,M'gladbach,2,2,D,22,11,7,4,3.6,3.75,1.95,Bundesliga,2020/21
05/12/2020,Bayern Munich,RB Leipzig,3,3,D,10,8,6,4,1.36,5.75,7.0,Bundesliga,2020/21
