date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
16/08/2019,Bayern Munich,Hertha,2,2,D,17,6,7,3,1.14,8.0,15.0,Bundesliga,2019/20
17/08/2019,Dortmund,Augsburg,5,1,H,23,5,10,1,1.2,7.0,13.0,Bundesliga,2019/20
17/08/2019,Freiburg,Mainz,3,0,H,19,19,8,5,2.25,3.25,3.4,Bundesliga,2019/20
17/08/2019,Leverkusen,Paderborn,3,2,H,13,11,4,6,1.25,6.0,12.0,Bundesliga,2019/20
17/08/2019,Werder Bremen,Fortuna Dusseldorf,1,3,A,23,12,10,7,1.75,3.75,4.75,Bundesliga,2019/20
17/08/2019,Wolfsburg,FC Koln,2,1,H,14,11,5,2,1.95,3.5,4.0,Bundesliga,2019/20
17/08/2019,M'gladbach,Schalke 04,0,0,D,16,8,4,1,2.0,3.5,3.75,Bundesliga,2019/20
18/08/2019,Ein Frankfurt,Hoffenheim,1,0,H,17,10,8,1,2.25,3.6,3.0,Bundesliga,2019/20
18/08/2019,Union Berlin,RB Leipzig,0,4,A,13,14,2,8,5.0,3.8,1.7,Bundesliga,2019/20
23/08/2019,FC Koln,Dortmund,1,3,A,13,14,1,6,6.5,4.75,1.44,Bundesliga,2019/20
24/08/2019,Augsburg,Union Berlin,1,1,D,12,13,4,1,2.2,3.4,3.3,Bundesliga,2019/20
24/08/2019,Fortuna Dusseldorf,Leverkusen,1,3,A,11,11,6,7,4.75,4.0,1.7,Bundesliga,2019/20
24/08/2019,Hoffenheim,Werder Bremen,3,2,H,10,18,3,6,1.85,3.6,4.2,Bundesliga,2019/20
24/08/2019,Mainz,M'gladbach,1,3,A,21,15,4,6,2.9,3.4,2.4,Bundesliga,2019/20
24/08/2019,Paderborn,Freiburg,1,3,A,15,9,2,4,2.37,3.5,2.9,Bundesliga,2019/20
24/08/2019,Schalke 04,Bayern Munich,0,3,A,9,10,2,6,9.0,4.75,1.36,Bundesliga,2019/20
25/08/2019,RB Leipzig,Ein Frankfurt,2,1,H,13,11,5,5,1.5,4.5,6.0,Bundesliga,2019/20
25/08/2019,Hertha,Wolfsburg,0,3,A,8,9,2,4,2.4,3.4,2.9,Bundesliga,2019/20
30/08/2019,M'gladbach,RB Leipzig,1,3,A,11,14,3,6,3.2,4.0,2.05,Bundesliga,2019/20
31/08/2019,Bayern Munich,Mainz,6,1,H,19,7,10,4,1.08,11.0,26.0,Bundesliga,2019/20
31/08/2019,Freiburg,FC Koln,1,2,A,14,9,1,3,2.37,3.5,3.0,Bundesliga,2019/20
31/08/2019,Leverkusen,Hoffenheim,0,0,D,20,6,2,1,1.53,4.75,5.25,Bundesliga,2019/20
31/08/2019,Schalke 04,Hertha,3,0,H,9,9,2,3,2.1,3.6,3.4,Bundesliga,2019/20
31/08/2019,Wolfsburg,Paderborn,1,1,D,15,7,5,3,1.44,5.0,6.0,Bundesliga,2019/20
31/08/2019,Union Berlin,Dortmund,3,1,H,15,13,7,2,10.0,5.75,1.28,Bundesliga,2019/20
01/09/2019,Werder Bremen,Augsburg,3,2,H,15,12,5,6,1.72,4.0,4.5,Bundesliga,2019/20
01/09/2019,Ein Frankfurt,Fortuna Dusseldorf,2,1,H,15,14,8,4,1.66,4.0,4.75,Bundesliga,2019/20
13/09/2019,Fortuna Dusseldorf,Wolfsburg,1,1,D,12,15,3,6,3.1,3.5,2.25,Bundesliga,2019/20
14/09/2019,Augsburg,Ein Frankfurt,2,1,H,9,23,6,3,3.5,3.6,2.05,Bundesliga,2019/20
14/09/2019,Dortmund,Leverkusen,4,0,H,11,22,9,12,1.8,4.0,4.0,Bundesliga,2019/20
14/09/2019,FC Koln,M'gladbach,0,1,A,14,15,7,4,2.5,3.5,2.7,Bundesliga,2019/20
