date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
24/08/2018,Bayern Munich,Hoffenheim,3,1,H,16,8,5,5,1.2,7.5,12.0,Bundesliga,2018/19
25/08/2018,Fortuna Dusseldorf,Augsburg,1,2,A,9,14,5,7,2.37,3.25,3.0,Bundesliga,2018/19
25/08/2018,Freiburg,Ein Frankfurt,0,2,A,22,10,6,2,2.3,3.3,3.25,Bundesliga,2018/19
25/08/2018,Hertha,Nurnberg,1,0,H,10,12,3,3,2.04,3.4,3.75,Bundesliga,2018/19
25/08/2018,M'gladbach,Leverkusen,2,0,H,17,13,7,3,2.8,3.5,2.45,Bundesliga,2018/19
25/08/2018,Werder Bremen,Hannover,1,1,D,15,13,3,4,1.85,3.6,4.0,Bundesliga,2018/19
25/08/2018,Wolfsburg,Schalke 04,2,1,H,11,9,7,4,3.1,3.3,2.37,Bundesliga,2018/19
26/08/2018,Dortmund,RB Leipzig,4,1,H,10,10,5,7,1.72,3.8,4.75,Bundesliga,2018/19
26/08/2018,Mainz,Stuttgart,1,0,H,8,12,3,3,2.7,3.25,2.7,Bundesliga,2018/19
31/08/2018,Hannover,Dortmund,0,0,D,7,8,0,3,5.5,4.33,1.57,Bundesliga,2018/19
01/09/2018,Augsburg,M'gladbach,1,1,D,18,7,7,2,2.62,3.4,2.7,Bundesliga,2018/19
01/09/2018,Ein Frankfurt,Werder Bremen,1,2,A,5,11,1,6,2.4,3.5,2.9,Bundesliga,2018/19
01/09/2018,Hoffenheim,Freiburg,3,1,H,20,9,7,4,1.55,4.0,6.5,Bundesliga,2018/19
01/09/2018,Leverkusen,Wolfsburg,1,3,A,16,12,3,5,1.61,4.33,5.0,Bundesliga,2018/19
01/09/2018,Nurnberg,Mainz,1,1,D,19,6,4,1,2.37,3.3,3.1,Bundesliga,2018/19
01/09/2018,Stuttgart,Bayern Munich,0,3,A,4,20,0,6,11.0,5.5,1.28,Bundesliga,2018/19
02/09/2018,RB Leipzig,Fortuna Dusseldorf,1,1,D,23,14,7,8,1.4,4.75,8.0,Bundesliga,2018/19
02/09/2018,Schalke 04,Hertha,0,2,A,16,5,4,3,1.75,3.6,5.0,Bundesliga,2018/19
14/09/2018,Dortmund,Ein Frankfurt,3,1,H,10,5,6,2,1.4,5.0,7.5,Bundesliga,2018/19
15/09/2018,Bayern Munich,Leverkusen,3,1,H,18,3,5,1,1.2,7.0,13.0,Bundesliga,2018/19
15/09/2018,Fortuna Dusseldorf,Hoffenheim,2,1,H,8,18,4,5,4.0,3.6,1.9,Bundesliga,2018/19
15/09/2018,Mainz,Augsburg,2,1,H,22,13,7,4,2.54,3.25,2.87,Bundesliga,2018/19
15/09/2018,M'gladbach,Schalke 04,2,1,H,15,15,4,6,2.37,3.4,3.0,Bundesliga,2018/19
15/09/2018,RB Leipzig,Hannover,3,2,H,15,16,6,8,1.53,4.33,5.5,Bundesliga,2018/19
15/09/2018,Wolfsburg,Hertha,2,2,D,15,9,6,5,2.1,3.25,3.75,Bundesliga,2018/19
16/09/2018,Freiburg,Stuttgart,3,3,D,12,11,5,6,2.62,3.25,2.75,Bundesliga,2018/19
16/09/2018,Werder Bremen,Nurnberg,1,1,D,14,11,2,2,1.66,4.0,5.0,Bundesliga,2018/19
21/09/2018,Stuttgart,Fortuna Dusseldorf,0,0,D,10,19,1,7,1.72,3.6,5.25,Bundesliga,2018/19
22/09/2018,Augsburg,Werder Bremen,2,3,A,21,12,7,7,2.5,3.25,2.9,Bundesliga,2018/19
22/09/2018,Hertha,M'gladbach,4,2,H,16,17,7,4,2.37,3.3,3.1,Bundesliga,2018/19
22/09/2018,Hoffenheim,Dortmund,1,1,D,17,8,5,2,2.62,3.75,2.4,Bundesliga,2018/19
22/09/2018,Nurnberg,Hannover,2,0,H,14,9,6,3,2.5,3.25,2.9,Bundesliga,2018/19
22/09/2018,Schalke 04,Bayern Munich,0,2,A,10,14,2,7,8.0,4.5,1.4,Bundesliga,2018/19
22/09/2018,Wolfsburg,Freiburg,1,3,A,17,12,9,8,1.72,3.6,5.25,Bundesliga,2018/19
23/09/2018,Ein Frankfurt,RB Leipzig,1,1,D,8,9,5,2,2.9,3.4,2.35,Bundesliga,2018/19
23/09/2018,Leverkusen,Mainz,1,0,H,18,12,5,5,1.57,4.33,5.5,Bundesliga,2018/19
25/09/2018,Bayern Munich,Augsburg,1,1,D,16,12,8,4,1.1,10.0,23.0,Bundesliga,2018/19
25/09/2018,Freiburg,Schalke 04,1,0,H,15,15,4,3,3.5,3.2,2.14,Bundesliga,2018/19
25/09/2018,Hannover,Hoffenheim,1,3,A,17,17,8,9,3.5,3.6,2.04,Bundesliga,2018/19
25/09/2018,Werder Bremen,Hertha,3,1,H,14,12,6,2,2.0,3.5,3.8,Bundesliga,2018/19
26/09/2018,Dortmund,Nurnberg,7,0,H,19,4,10,1,1.3,5.5,10.0,Bundesliga,2018/19
26/09/2018,Fortuna Dusseldorf,Leverkusen,1,2,A,16,6,4,3,3.75,3.75,1.95,Bundesliga,2018/19
26/09/2018,Mainz,Wolfsburg,0,0,D,11,12,2,4,2.6,3.25,2.8,Bundesliga,2018/19
26/09/2018,M'gladbach,Ein Frankfurt,3,1,H,21,12,9,2,1.75,3.8,4.75,Bundesliga,2018/19
26/09/2018,RB Leipzig,Stuttgart,2,0,H,18,9,8,0,1.72,3.8,4.75,Bundesliga,2018/19
28/09/2018,Hertha,Bayern Munich,2,0,H,6,25,4,5,10.0,5.75,1.28,Bundesliga,2018/19
29/09/2018,Hoffenheim,RB Leipzig,1,2,A,13,18,6,7,2.04,3.75,3.4,Bundesliga,2018/19
29/09/2018,Leverkusen,Dortmund,2,4,A,14,16,6,10,2.8,3.5,2.4,Bundesliga,2018/19
29/09/2018,Nurnberg,Fortuna Dusseldorf,3,0,H,10,13,6,4,2.14,3.4,3.4,Bundesliga,2018/19
29/09/2018,Schalke 04,Mainz,1,0,H,15,15,2,5,1.64,3.75,5.5,Bundesliga,2018/19
29/09/2018,Stuttgart,Werder Bremen,2,1,H,18,14,5,3,2.7,3.25,2.7,Bundesliga,2018/19
