date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
05/08/2022,Ein Frankfurt,Bayern Munich,1,6,A,8,23,2,10,6.0,5.0,1.5,Bundesliga,2022/23
06/08/2022,Augsburg,Freiburg,0,4,A,10,19,2,7,3.3,3.5,2.15,Bundesliga,2022/23
06/08/2022,Bochum,Mainz,1,2,A,16,13,3,6,3.2,3.4,2.2,Bundesliga,2022/23
06/08/2022,M'gladbach,Hoffenheim,3,1,H,18,2,8,1,2.05,4.2,3.0,Bundesliga,2022/23
06/08/2022,Union Berlin,Hertha,3,1,H,18,9,8,3,1.72,3.75,4.5,Bundesliga,2022/23
06/08/2022,Wolfsburg,Werder Bremen,2,2,D,13,10,3,5,1.85,3.8,3.8,Bundesliga,2022/23
06/08/2022,Dortmund,Leverkusen,1,0,H,13,8,4,3,2.0,4.2,3.2,Bundesliga,2022/23
07/08/2022,Stuttgart,RB Leipzig,1,1,D,11,27,2,9,4.5,3.8,1.75,Bundesliga,2022/23
07/08/2022,FC Koln,Schalke 04,3,1,H,30,6,10,2,1.7,4.0,4.5,Bundesliga,2022/23
12/08/2022,Freiburg,Dortmund,1,3,A,16,16,7,7,3.0,3.75,2.2,Bundesliga,2022/23
13/08/2022,Hertha,Ein Frankfurt,1,1,D,11,11,5,1,3.0,3.5,2.3,Bundesliga,2022/23
13/08/2022,Hoffenheim,Bochum,3,2,H,24,11,13,5,1.57,4.5,5.25,Bundesliga,2022/23
13/08/2022,Leverkusen,Augsburg,1,2,A,23,6,10,4,1.3,5.75,9.5,Bundesliga,2022/23
13/08/2022,RB Leipzig,FC Koln,2,2,D,9,12,5,3,1.44,4.75,7.0,Bundesliga,2022/23
13/08/2022,Werder Bremen,Stuttgart,2,2,D,5,14,3,7,2.25,3.6,3.0,Bundesliga,2022/23
13/08/2022,Schalke 04,M'gladbach,2,2,D,14,14,5,9,3.1,3.8,2.15,Bundesliga,2022/23
14/08/2022,Mainz,Union Berlin,0,0,D,10,10,5,2,2.2,3.25,3.4,Bundesliga,2022/23
14/08/2022,Bayern Munich,Wolfsburg,2,0,H,24,7,8,1,1.12,9.5,17.0,Bundesliga,2022/23
19/08/2022,M'gladbach,Hertha,1,0,H,11,18,6,5,1.5,4.5,6.0,Bundesliga,2022/23
20/08/2022,Augsburg,Mainz,1,2,A,6,14,2,7,3.5,3.5,2.1,Bundesliga,2022/23
20/08/2022,Dortmund,Werder Bremen,2,3,A,5,14,3,7,1.36,5.25,7.5,Bundesliga,2022/23
20/08/2022,Leverkusen,Hoffenheim,0,3,A,14,10,3,5,1.66,4.33,4.5,Bundesliga,2022/23
20/08/2022,Stuttgart,Freiburg,0,1,A,18,9,5,3,2.62,3.6,2.55,Bundesliga,2022/23
20/08/2022,Wolfsburg,Schalke 04,0,0,D,16,9,6,2,1.83,3.8,4.2,Bundesliga,2022/23
20/08/2022,Union Berlin,RB Leipzig,2,1,H,9,16,4,2,3.6,3.5,2.05,Bundesliga,2022/23
21/08/2022,Ein Frankfurt,FC Koln,1,1,D,10,6,3,2,1.95,3.75,3.6,Bundesliga,2022/23
21/08/2022,Bochum,Bayern Munich,0,7,A,13,22,7,12,13.0,8.0,1.18,Bundesliga,2022/23
26/08/2022,Freiburg,Bochum,1,0,H,28,15,12,5,1.5,4.5,6.0,Bundesliga,2022/23
27/08/2022,Hertha,Dortmund,0,1,A,12,24,3,7,4.5,4.33,1.66,Bundesliga,2022/23
27/08/2022,Hoffenheim,Augsburg,1,0,H,24,12,6,1,1.45,4.5,7.0,Bundesliga,2022/23
27/08/2022,Mainz,Leverkusen,0,3,A,17,7,3,5,2.75,3.75,2.37,Bundesliga,2022/23
27/08/2022,RB Leipzig,Wolfsburg,2,0,H,16,9,7,4,1.45,4.75,6.0,Bundesliga,2022/23
