date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
12/09/2020,Eibar,Celta,0,0,D,8,6,1,3,2.5,3.25,2.9,La Liga,2020/21
12/09/2020,Granada,Ath Bilbao,2,0,H,4,9,2,2,2.75,3.1,2.75,La Liga,2020/21
12/09/2020,Cadiz,Osasuna,0,2,A,12,6,3,4,2.8,3.0,2.75,La Liga,2020/21
13/09/2020,Alaves,Betis,0,1,A,7,11,2,4,2.8,3.2,2.6,La Liga,2020/21
13/09/2020,Valladolid,Sociedad,1,1,D,8,8,3,2,2.8,3.2,2.6,La Liga,2020/21
13/09/2020,Villarreal,Huesca,1,1,D,15,10,4,3,1.57,4.0,6.0,La Liga,2020/21
13/09/2020,Valencia,Levante,4,2,H,14,19,8,8,2.1,3.5,3.5,La Liga,2020/21
19/09/2020,Villarreal,Eibar,2,1,H,14,12,8,4,1.57,4.0,6.0,La Liga,2020/21
19/09/2020,Getafe,Osasuna,1,0,H,7,10,1,3,1.95,3.25,4.33,La Liga,2020/21
19/09/2020,Celta,Valencia,2,1,H,23,9,6,3,2.2,3.6,3.1,La Liga,2020/21
20/09/2020,Huesca,Cadiz,0,2,A,4,6,0,4,2.1,3.1,4.0,La Liga,2020/21
20/09/2020,Betis,Valladolid,2,0,H,16,9,6,2,1.85,3.6,4.33,La Liga,2020/21
20/09/2020,Granada,Alaves,2,1,H,10,5,3,3,2.05,3.1,4.2,La Liga,2020/21
20/09/2020,Sociedad,Real Madrid,0,0,D,6,16,1,4,4.75,3.8,1.72,La Liga,2020/21
26/09/2020,Alaves,Getafe,0,0,D,9,11,0,4,3.5,2.9,2.37,La Liga,2020/21
26/09/2020,Valencia,Huesca,1,1,D,5,17,2,4,2.0,3.4,4.0,La Liga,2020/21
26/09/2020,Elche,Sociedad,0,3,A,5,27,2,7,4.2,3.3,1.95,La Liga,2020/21
26/09/2020,Betis,Real Madrid,2,3,A,15,11,5,4,4.0,4.0,1.8,La Liga,2020/21
27/09/2020,Osasuna,Levante,1,3,A,9,11,4,5,2.3,3.2,3.25,La Liga,2020/21
27/09/2020,Eibar,Ath Bilbao,1,2,A,7,9,1,5,3.0,3.0,2.55,La Liga,2020/21
27/09/2020,Ath Madrid,Granada,6,1,H,17,11,10,6,1.5,4.0,7.5,La Liga,2020/21
27/09/2020,Cadiz,Sevilla,1,3,A,12,14,5,5,5.0,3.6,1.7,La Liga,2020/21
27/09/2020,Valladolid,Celta,1,1,D,10,5,4,1,2.8,3.0,2.7,La Liga,2020/21
27/09/2020,Barcelona,Villarreal,4,0,H,17,5,9,1,1.53,4.33,6.0,La Liga,2020/21
29/09/2020,Sociedad,Valencia,0,1,A,11,9,3,5,1.53,4.2,5.75,La Liga,2020/21
29/09/2020,Getafe,Betis,3,0,H,8,10,4,2,2.45,3.1,3.0,La Liga,2020/21
30/09/2020,Huesca,Ath Madrid,0,0,D,9,16,3,2,7.5,4.2,1.45,La Liga,2020/21
30/09/2020,Villarreal,Alaves,3,1,H,10,8,6,3,1.57,3.8,5.75,La Liga,2020/21
30/09/2020,Eibar,Elche,0,1,A,12,5,4,2,1.8,3.5,4.5,La Liga,2020/21
30/09/2020,Real Madrid,Valladolid,1,0,H,15,11,5,5,1.22,6.0,11.0,La Liga,2020/21
01/10/2020,Ath Bilbao,Cadiz,0,1,A,13,3,4,1,1.53,3.8,6.5,La Liga,2020/21
01/10/2020,Sevilla,Levante,1,0,H,16,3,2,1,1.4,4.5,7.5,La Liga,2020/21
01/10/2020,Celta,Barcelona,0,3,A,10,6,3,3,5.75,4.2,1.53,La Liga,2020/21
03/10/2020,Valladolid,Eibar,1,2,A,9,11,3,5,2.35,3.0,3.4,La Liga,2020/21
03/10/2020,Ath Madrid,Villarreal,0,0,D,14,6,1,2,1.61,3.9,5.5,La Liga,2020/21
03/10/2020,Elche,Huesca,0,0,D,2,18,0,4,3.1,3.1,2.45,La Liga,2020/21
03/10/2020,Sociedad,Getafe,3,0,H,11,5,6,1,2.25,3.1,3.5,La Liga,2020/21
03/10/2020,Valencia,Betis,0,2,A,5,17,2,8,2.8,3.2,2.6,La Liga,2020/21
04/10/2020,Osasuna,Celta,2,0,H,14,9,5,3,2.7,3.1,2.75,La Liga,2020/21
04/10/2020,Alaves,Ath Bilbao,1,0,H,8,8,3,0,3.3,2.9,2.37,La Liga,2020/21
04/10/2020,Levante,Real Madrid,0,2,A,11,13,4,3,6.0,4.5,1.5,La Liga,2020/21
04/10/2020,Cadiz,Granada,1,1,D,14,13,4,5,3.0,3.0,2.6,La Liga,2020/21
04/10/2020,Barcelona,Sevilla,1,1,D,12,13,5,1,1.57,4.33,5.25,La Liga,2020/21
17/10/2020,Granada,Sevilla,1,0,H,13,8,3,3,4.2,3.4,1.9,La Liga,2020/21
17/10/2020,Celta,Ath Madrid,0,2,A,15,9,5,4,5.5,3.3,1.75,La Liga,2020/21
17/10/2020,Real Madrid,Cadiz,0,1,A,14,14,2,5,1.18,7.0,15.0,La Liga,2020/21
17/10/2020,Getafe,Barcelona,1,0,H,9,7,4,1,4.75,3.8,1.72,La Liga,2020/21
18/10/2020,Eibar,Osasuna,0,0,D,10,8,6,2,2.6,3.0,3.0,La Liga,2020/21
18/10/2020,Ath Bilbao,Levante,2,0,H,14,6,5,1,2.05,3.2,4.0,La Liga,2020/21
18/10/2020,Villarreal,Valencia,2,1,H,16,11,6,3,1.6,4.0,5.25,La Liga,2020/21
18/10/2020,Alaves,Elche,0,2,A,13,7,2,3,1.75,3.3,5.5,La Liga,2020/21
18/10/2020,Huesca,Valladolid,2,2,D,12,5,7,3,2.25,2.9,3.8,La Liga,2020/21
18/10/2020,Betis,Sociedad,0,3,A,7,8,1,5,2.5,3.25,2.9,La Liga,2020/21
23/10/2020,Elche,Valencia,2,1,H,3,14,2,4,3.2,3.1,2.4,La Liga,2020/21
24/10/2020,Barcelona,Real Madrid,1,3,A,10,15,4,9,2.0,3.6,3.6,La Liga,2020/21
24/10/2020,Osasuna,Ath Bilbao,1,0,H,7,13,2,5,3.25,2.9,2.4,La Liga,2020/21
24/10/2020,Sevilla,Eibar,0,1,A,21,3,3,1,1.45,4.33,7.5,La Liga,2020/21
24/10/2020,Ath Madrid,Betis,2,0,H,13,12,6,3,1.55,3.8,6.5,La Liga,2020/21
25/10/2020,Valladolid,Alaves,0,2,A,5,14,1,4,2.3,2.9,3.5,La Liga,2020/21
25/10/2020,Cadiz,Villarreal,0,0,D,5,7,0,2,3.6,3.3,2.1,La Liga,2020/21
25/10/2020,Getafe,Granada,0,1,A,10,5,1,2,1.85,3.1,5.0,La Liga,2020/21
25/10/2020,Sociedad,Huesca,4,1,H,13,6,6,4,1.57,3.75,6.0,La Liga,2020/21
26/10/2020,Levante,Celta,1,1,D,10,10,3,3,2.37,3.25,3.0,La Liga,2020/21
30/10/2020,Eibar,Cadiz,0,2,A,9,6,3,4,2.55,2.75,3.3,La Liga,2020/21
31/10/2020,Real Madrid,Huesca,4,1,H,13,9,6,2,1.33,5.25,9.0,La Liga,2020/21
31/10/2020,Ath Bilbao,Sevilla,2,1,H,16,7,5,3,3.0,3.0,2.6,La Liga,2020/21
31/10/2020,Osasuna,Ath Madrid,1,3,A,8,11,3,6,5.5,3.3,1.75,La Liga,2020/21
31/10/2020,Alaves,Barcelona,1,1,D,4,25,3,9,6.5,4.75,1.44,La Liga,2020/21
01/11/2020,Betis,Elche,3,1,H,17,4,10,2,1.45,4.33,7.5,La Liga,2020/21
01/11/2020,Celta,Sociedad,1,4,A,9,9,2,7,3.0,3.2,2.45,La Liga,2020/21
01/11/2020,Granada,Levante,1,1,D,5,19,2,4,2.25,3.2,3.4,La Liga,2020/21
01/11/2020,Valencia,Getafe,2,2,D,11,16,5,5,3.1,3.1,2.45,La Liga,2020/21
02/11/2020,Villarreal,Valladolid,2,0,H,11,11,5,1,1.61,4.0,5.5,La Liga,2020/21
06/11/2020,Elche,Celta,1,1,D,8,14,1,6,4.0,3.3,1.95,La Liga,2020/21
07/11/2020,Huesca,Eibar,1,1,D,14,8,6,3,2.05,3.3,3.6,La Liga,2020/21
07/11/2020,Barcelona,Betis,5,2,H,18,12,9,6,1.4,5.0,7.5,La Liga,2020/21
07/11/2020,Sevilla,Osasuna,1,0,H,9,10,1,2,1.5,4.0,7.0,La Liga,2020/21
07/11/2020,Ath Madrid,Cadiz,4,0,H,17,10,7,3,1.4,4.2,10.0,La Liga,2020/21
08/11/2020,Getafe,Villarreal,1,3,A,13,9,5,5,2.5,3.1,3.0,La Liga,2020/21
08/11/2020,Sociedad,Granada,2,0,H,22,2,9,1,1.65,3.8,5.25,La Liga,2020/21
08/11/2020,Levante,Alaves,1,1,D,18,6,5,2,2.15,3.4,3.4,La Liga,2020/21
08/11/2020,Valladolid,Ath Bilbao,2,1,H,7,17,4,2,3.3,2.9,2.37,La Liga,2020/21
08/11/2020,Valencia,Real Madrid,4,1,H,7,16,4,6,6.0,4.75,1.45,La Liga,2020/21
20/11/2020,Osasuna,Huesca,1,1,D,18,6,7,5,2.4,3.0,3.25,La Liga,2020/21
21/11/2020,Levante,Elche,1,1,D,13,11,5,5,1.57,4.0,5.75,La Liga,2020/21
21/11/2020,Villarreal,Real Madrid,1,1,D,13,6,1,1,2.87,3.8,2.25,La Liga,2020/21
21/11/2020,Sevilla,Celta,4,2,H,15,10,10,7,1.72,3.6,5.25,La Liga,2020/21
21/11/2020,Ath Madrid,Barcelona,1,0,H,9,13,2,4,2.9,3.5,2.37,La Liga,2020/21
22/11/2020,Eibar,Getafe,0,0,D,15,8,5,3,3.4,3.0,2.35,La Liga,2020/21
22/11/2020,Cadiz,Sociedad,0,1,A,2,14,0,4,4.0,3.8,1.85,La Liga,2020/21
22/11/2020,Granada,Valladolid,1,3,A,16,9,6,3,2.1,3.2,3.8,La Liga,2020/21
22/11/2020,Alaves,Valencia,2,2,D,13,13,3,5,2.7,3.2,2.8,La Liga,2020/21
23/11/2020,Ath Bilbao,Betis,4,0,H,14,7,9,1,2.2,3.3,3.4,La Liga,2020/21
27/11/2020,Valladolid,Levante,1,1,D,10,10,4,3,2.55,3.3,2.8,La Liga,2020/21
28/11/2020,Elche,Cadiz,1,1,D,4,7,3,2,3.2,3.0,2.45,La Liga,2020/21
28/11/2020,Valencia,Ath Madrid,0,1,A,5,14,2,6,4.75,3.8,1.72,La Liga,2020/21
28/11/2020,Huesca,Sevilla,0,1,A,5,16,1,4,4.0,3.3,2.0,La Liga,2020/21
28/11/2020,Real Madrid,Alaves,1,2,A,20,11,9,6,1.33,5.25,9.0,La Liga,2020/21
29/11/2020,Barcelona,Osasuna,4,0,H,20,10,11,5,1.25,6.0,11.0,La Liga,2020/21
29/11/2020,Getafe,Ath Bilbao,1,1,D,11,5,3,2,2.8,2.9,2.8,La Liga,2020/21
29/11/2020,Celta,Granada,3,1,H,17,9,8,2,2.0,3.5,3.75,La Liga,2020/21
29/11/2020,Sociedad,Villarreal,1,1,D,8,10,4,2,2.1,3.6,3.4,La Liga,2020/21
30/11/2020,Betis,Eibar,0,2,A,7,11,3,6,1.75,3.75,4.5,La Liga,2020/21
04/12/2020,Ath Bilbao,Celta,0,2,A,10,6,0,4,2.05,3.25,3.8,La Liga,2020/21
05/12/2020,Levante,Getafe,3,0,H,12,9,8,0,2.9,3.1,2.55,La Liga,2020/21
05/12/2020,Sevilla,Real Madrid,0,1,A,12,10,2,3,2.5,3.5,2.7,La Liga,2020/21
05/12/2020,Ath Madrid,Valladolid,2,0,H,15,13,4,3,1.4,4.33,9.5,La Liga,2020/21
05/12/2020,Cadiz,Barcelona,2,1,H,7,21,3,8,8.5,5.0,1.36,La Liga,2020/21
06/12/2020,Granada,Huesca,3,3,D,15,16,6,7,2.3,3.1,3.4,La Liga,2020/21
06/12/2020,Osasuna,Betis,0,2,A,10,12,0,5,2.62,3.3,2.7,La Liga,2020/21
06/12/2020,Villarreal,Elche,0,0,D,12,3,3,0,1.3,5.5,9.5,La Liga,2020/21
06/12/2020,Alaves,Sociedad,0,0,D,5,13,1,5,4.75,3.5,1.8,La Liga,2020/21
07/12/2020,Eibar,Valencia,0,0,D,19,6,3,4,2.45,3.1,3.1,La Liga,2020/21
11/12/2020,Valladolid,Osasuna,3,2,H,11,13,6,6,2.5,3.1,3.0,La Liga,2020/21
12/12/2020,Valencia,Ath Bilbao,2,2,D,11,13,2,5,3.25,3.1,2.35,La Liga,2020/21
12/12/2020,Getafe,Sevilla,0,1,A,8,8,2,0,3.75,3.2,2.1,La Liga,2020/21
12/12/2020,Huesca,Alaves,1,0,H,11,3,3,1,2.2,3.2,3.5,La Liga,2020/21
12/12/2020,Real Madrid,Ath Madrid,2,0,H,11,5,3,1,2.3,3.3,3.1,La Liga,2020/21
13/12/2020,Sociedad,Eibar,1,1,D,8,16,2,4,1.6,3.75,6.0,La Liga,2020/21
13/12/2020,Betis,Villarreal,1,1,D,11,7,5,2,3.1,3.5,2.25,La Liga,2020/21
13/12/2020,Elche,Granada,0,1,A,9,13,1,5,3.4,3.1,2.3,La Liga,2020/21
13/12/2020,Barcelona,Levante,1,0,H,24,7,13,3,1.22,7.0,11.0,La Liga,2020/21
14/12/2020,Celta,Cadiz,4,0,H,8,12,5,2,1.72,3.6,5.25,La Liga,2020/21
15/12/2020,Real Madrid,Ath Bilbao,3,1,H,18,10,5,4,1.53,4.33,5.75,La Liga,2020/21
16/12/2020,Barcelona,Sociedad,2,1,H,14,12,4,5,1.6,4.5,5.0,La Liga,2020/21
18/12/2020,Ath Bilbao,Huesca,2,0,H,10,6,3,1,1.9,3.3,4.33,La Liga,2020/21
19/12/2020,Ath Madrid,Elche,3,1,H,12,8,6,3,1.2,6.0,19.0,La Liga,2020/21
19/12/2020,Barcelona,Valencia,2,2,D,25,12,9,4,1.3,6.0,8.5,La Liga,2020/21
19/12/2020,Levante,Sociedad,2,1,H,13,15,5,5,3.4,3.4,2.15,La Liga,2020/21
19/12/2020,Osasuna,Villarreal,1,3,A,6,13,1,6,3.6,3.4,2.1,La Liga,2020/21
19/12/2020,Sevilla,Valladolid,1,1,D,14,12,3,5,1.53,3.75,7.5,La Liga,2020/21
20/12/2020,Celta,Alaves,2,0,H,11,8,3,2,1.7,4.0,4.75,La Liga,2020/21
20/12/2020,Granada,Betis,2,0,H,8,14,3,1,2.45,3.4,2.87,La Liga,2020/21
20/12/2020,Cadiz,Getafe,0,2,A,8,6,1,4,3.3,2.9,2.45,La Liga,2020/21
20/12/2020,Eibar,Real Madrid,1,3,A,10,11,3,5,6.5,4.2,1.5,La Liga,2020/21
22/12/2020,Elche,Osasuna,2,2,D,7,15,2,6,3.3,3.0,2.37,La Liga,2020/21
22/12/2020,Valencia,Sevilla,0,1,A,10,19,4,3,3.75,3.4,2.0,La Liga,2020/21
22/12/2020,Huesca,Levante,1,1,D,11,9,2,1,2.62,3.4,2.6,La Liga,2020/21
22/12/2020,Sociedad,Ath Madrid,0,2,A,6,8,1,3,3.3,3.2,2.25,La Liga,2020/21
22/12/2020,Valladolid,Barcelona,0,3,A,12,21,5,10,7.0,5.4,1.36,La Liga,2020/21
22/12/2020,Villarreal,Ath Bilbao,1,1,D,17,9,6,3,2.0,3.4,3.8,La Liga,2020/21
23/12/2020,Getafe,Celta,1,1,D,6,2,3,1,2.75,3.0,2.8,La Liga,2020/21
23/12/2020,Real Madrid,Granada,2,0,H,23,10,6,1,1.33,5.25,9.0,La Liga,2020/21
23/12/2020,Alaves,Eibar,2,1,H,13,8,3,4,2.75,2.87,2.9,La Liga,2020/21
23/12/2020,Betis,Cadiz,1,0,H,6,6,1,3,1.9,3.5,4.1,La Liga,2020/21
29/12/2020,Sevilla,Villarreal,2,0,H,10,6,3,2,2.25,3.3,3.25,La Liga,2020/21
29/12/2020,Barcelona,Eibar,1,1,D,16,9,5,3,1.28,5.75,9.5,La Liga,2020/21
29/12/2020,Cadiz,Valladolid,0,0,D,8,7,3,1,2.87,2.9,2.75,La Liga,2020/21
29/12/2020,Levante,Betis,4,3,H,10,19,5,7,2.4,3.4,2.9,La Liga,2020/21
30/12/2020,Granada,Valencia,2,1,H,24,16,5,6,2.2,3.3,3.4,La Liga,2020/21
30/12/2020,Ath Madrid,Getafe,1,0,H,10,10,3,2,1.44,4.2,8.5,La Liga,2020/21
30/12/2020,Celta,Huesca,2,1,H,15,17,6,6,1.75,3.75,4.6,La Liga,2020/21
30/12/2020,Elche,Real Madrid,1,1,D,6,14,3,6,10.0,6.5,1.25,La Liga,2020/21
31/12/2020,Ath Bilbao,Sociedad,0,1,A,4,13,0,3,3.0,3.2,2.5,La Liga,2020/21
31/12/2020,Osasuna,Alaves,1,1,D,8,15,3,1,2.35,3.25,3.1,La Liga,2020/21
02/01/2021,Villarreal,Levante,2,1,H,12,9,7,2,1.65,3.8,5.5,La Liga,2020/21
02/01/2021,Betis,Sevilla,1,1,D,16,6,3,2,3.9,3.5,1.95,La Liga,2020/21
02/01/2021,Getafe,Valladolid,0,1,A,11,8,4,2,1.95,3.1,4.5,La Liga,2020/21
02/01/2021,Real Madrid,Celta,2,0,H,9,6,2,1,1.44,4.75,6.5,La Liga,2020/21
03/01/2021,Ath Bilbao,Elche,1,0,H,13,5,2,2,1.5,3.8,8.0,La Liga,2020/21
03/01/2021,Alaves,Ath Madrid,1,2,A,4,8,1,4,7.0,3.75,1.53,La Liga,2020/21
03/01/2021,Eibar,Granada,2,0,H,15,6,7,3,2.37,3.0,3.3,La Liga,2020/21
03/01/2021,Sociedad,Osasuna,1,1,D,8,6,2,2,1.53,4.0,6.5,La Liga,2020/21
03/01/2021,Huesca,Barcelona,0,1,A,4,20,4,7,6.5,4.75,1.44,La Liga,2020/21
04/01/2021,Valencia,Cadiz,1,1,D,11,9,4,2,2.0,3.4,3.75,La Liga,2020/21
06/01/2021,Ath Bilbao,Barcelona,2,3,A,8,13,3,9,4.2,3.6,1.83,La Liga,2020/21
08/01/2021,Celta,Villarreal,0,4,A,8,15,3,6,3.4,3.3,2.2,La Liga,2020/21
09/01/2021,Sevilla,Sociedad,3,2,H,12,10,7,4,2.2,3.1,3.6,La Liga,2020/21
09/01/2021,Granada,Barcelona,0,4,A,8,13,4,4,6.5,5.25,1.4,La Liga,2020/21
09/01/2021,Osasuna,Real Madrid,0,0,D,8,9,2,1,6.5,4.75,1.45,La Liga,2020/21
10/01/2021,Levante,Eibar,2,1,H,4,17,2,4,2.25,3.4,3.2,La Liga,2020/21
10/01/2021,Cadiz,Alaves,3,1,H,10,5,7,2,2.7,2.9,3.0,La Liga,2020/21
10/01/2021,Valladolid,Valencia,0,1,A,11,17,4,6,2.37,3.25,3.1,La Liga,2020/21
11/01/2021,Elche,Getafe,1,3,A,7,14,4,7,4.33,2.9,2.1,La Liga,2020/21
11/01/2021,Huesca,Betis,0,2,A,10,15,3,5,2.8,3.3,2.55,La Liga,2020/21
12/01/2021,Granada,Osasuna,2,0,H,9,15,2,3,2.3,3.1,3.4,La Liga,2020/21
12/01/2021,Ath Madrid,Sevilla,2,0,H,5,13,4,2,1.9,3.2,4.5,La Liga,2020/21
19/01/2021,Cadiz,Levante,2,2,D,8,8,2,5,2.9,3.1,2.55,La Liga,2020/21
19/01/2021,Valladolid,Elche,2,2,D,13,9,2,3,1.83,3.4,4.6,La Liga,2020/21
19/01/2021,Alaves,Sevilla,1,2,A,12,7,3,3,5.5,3.6,1.66,La Liga,2020/21
20/01/2021,Getafe,Huesca,1,0,H,12,15,5,3,1.9,3.25,4.5,La Liga,2020/21
20/01/2021,Betis,Celta,2,1,H,12,10,4,3,2.1,3.5,3.4,La Liga,2020/21
20/01/2021,Villarreal,Granada,2,2,D,9,3,3,2,1.5,4.0,7.0,La Liga,2020/21
21/01/2021,Valencia,Osasuna,1,1,D,10,14,3,5,2.05,3.5,3.5,La Liga,2020/21
21/01/2021,Eibar,Ath Madrid,1,2,A,12,9,2,4,6.5,3.4,1.66,La Liga,2020/21
22/01/2021,Levante,Valladolid,2,2,D,11,7,3,3,1.95,3.4,4.0,La Liga,2020/21
23/01/2021,Huesca,Villarreal,0,0,D,5,8,1,2,4.33,3.75,1.8,La Liga,2020/21
23/01/2021,Sevilla,Cadiz,3,0,H,15,9,7,3,1.45,4.2,8.0,La Liga,2020/21
23/01/2021,Sociedad,Betis,2,2,D,12,7,6,4,1.8,3.75,4.33,La Liga,2020/21
23/01/2021,Alaves,Real Madrid,1,4,A,14,10,4,7,5.5,4.33,1.55,La Liga,2020/21
24/01/2021,Osasuna,Granada,3,1,H,7,12,4,1,2.5,3.1,3.0,La Liga,2020/21
24/01/2021,Elche,Barcelona,0,2,A,4,15,2,8,8.0,5.25,1.36,La Liga,2020/21
24/01/2021,Celta,Eibar,1,1,D,7,9,4,2,2.05,3.4,3.75,La Liga,2020/21
24/01/2021,Ath Madrid,Valencia,3,1,H,14,8,5,4,1.4,4.75,8.0,La Liga,2020/21
25/01/2021,Ath Bilbao,Getafe,5,1,H,11,6,8,2,2.3,3.0,3.6,La Liga,2020/21
29/01/2021,Valladolid,Huesca,1,3,A,14,11,4,5,2.2,3.1,3.6,La Liga,2020/21
30/01/2021,Eibar,Sevilla,0,2,A,17,7,6,4,4.0,3.25,2.0,La Liga,2020/21
30/01/2021,Real Madrid,Levante,1,2,A,8,14,2,8,1.33,5.5,8.0,La Liga,2020/21
30/01/2021,Valencia,Elche,1,0,H,14,10,4,1,1.66,3.75,5.5,La Liga,2020/21
30/01/2021,Villarreal,Sociedad,1,1,D,4,12,2,3,2.4,3.2,3.1,La Liga,2020/21
31/01/2021,Getafe,Alaves,0,0,D,5,5,1,1,1.9,3.2,4.5,La Liga,2020/21
31/01/2021,Cadiz,Ath Madrid,2,4,A,11,9,6,4,9.0,4.0,1.44,La Liga,2020/21
31/01/2021,Granada,Celta,0,0,D,10,7,5,1,2.7,3.3,2.62,La Liga,2020/21
31/01/2021,Barcelona,Ath Bilbao,2,1,H,12,7,6,2,1.36,5.25,7.5,La Liga,2020/21
01/02/2021,Betis,Osasuna,1,0,H,8,15,4,5,1.8,3.6,4.33,La Liga,2020/21
05/02/2021,Alaves,Valladolid,1,0,H,20,3,5,1,2.6,3.0,3.0,La Liga,2020/21
06/02/2021,Levante,Granada,2,2,D,11,11,7,5,2.2,3.3,3.4,La Liga,2020/21
06/02/2021,Huesca,Real Madrid,1,2,A,13,18,2,7,7.0,4.5,1.44,La Liga,2020/21
06/02/2021,Elche,Villarreal,2,2,D,8,9,2,4,6.5,3.8,1.53,La Liga,2020/21
06/02/2021,Sevilla,Getafe,3,0,H,17,5,5,1,1.72,3.6,4.75,La Liga,2020/21
07/02/2021,Sociedad,Cadiz,4,1,H,17,2,6,1,1.45,4.2,8.0,La Liga,2020/21
07/02/2021,Ath Bilbao,Valencia,1,1,D,11,15,2,2,2.15,3.2,3.6,La Liga,2020/21
07/02/2021,Osasuna,Eibar,2,1,H,12,12,4,3,2.55,3.0,3.0,La Liga,2020/21
