date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
18/08/17,Leganes,Alaves,1,0,H,16,6,9,3,2.05,3.2,4.1,La Liga,2017/18
18/08/17,Valencia,Las Palmas,1,0,H,22,5,6,4,1.75,3.8,4.5,La Liga,2017/18
19/08/17,Celta,Sociedad,2,3,A,16,13,5,6,2.38,3.25,3.2,La Liga,2017/18
19/08/17,Girona,Ath Madrid,2,2,D,13,9,6,3,8.0,4.33,1.45,La Liga,2017/18
19/08/17,Sevilla,Espanol,1,1,D,9,9,4,6,1.62,4.0,5.5,La Liga,2017/18
20/08/17,Ath Bilbao,Getafe,0,0,D,12,8,2,2,1.5,4.0,7.5,La Liga,2017/18
20/08/17,Barcelona,Betis,2,0,H,15,3,2,0,1.17,8.0,15.0,La Liga,2017/18
20/08/17,La Coruna,Real Madrid,0,3,A,12,16,6,8,9.5,5.75,1.3,La Liga,2017/18
21/08/17,Levante,Villarreal,1,0,H,14,9,3,1,3.25,3.25,2.3,La Liga,2017/18
21/08/17,Malaga,Eibar,0,1,A,10,13,4,6,2.1,3.3,3.7,La Liga,2017/18
25/08/17,Betis,Celta,2,1,H,10,9,3,2,2.2,3.4,3.4,La Liga,2017/18
25/08/17,Sociedad,Villarreal,3,0,H,15,6,9,1,2.05,3.4,3.75,La Liga,2017/18
26/08/17,Alaves,Barcelona,0,2,A,11,23,2,11,10.0,5.75,1.29,La Liga,2017/18
26/08/17,Girona,Malaga,1,0,H,15,7,4,2,2.15,3.25,3.6,La Liga,2017/18
26/08/17,Las Palmas,Ath Madrid,1,5,A,10,8,4,6,4.75,3.75,1.75,La Liga,2017/18
26/08/17,Levante,La Coruna,2,2,D,24,11,5,4,2.2,3.1,3.6,La Liga,2017/18
27/08/17,Eibar,Ath Bilbao,0,1,A,14,10,5,4,2.5,3.1,3.1,La Liga,2017/18
27/08/17,Espanol,Leganes,0,1,A,17,12,2,8,1.95,3.25,4.33,La Liga,2017/18
27/08/17,Getafe,Sevilla,0,1,A,15,6,3,3,3.6,3.3,2.15,La Liga,2017/18
27/08/17,Real Madrid,Valencia,2,2,D,22,7,6,3,1.17,8.0,15.0,La Liga,2017/18
08/09/17,Leganes,Getafe,1,2,A,11,11,7,3,2.05,3.25,4.0,La Liga,2017/18
09/09/17,Barcelona,Espanol,5,0,H,20,9,9,1,1.17,8.0,17.0,La Liga,2017/18
09/09/17,Real Madrid,Levante,1,1,D,18,5,10,2,1.05,15.0,34.0,La Liga,2017/18
09/09/17,Sevilla,Eibar,3,0,H,12,7,6,2,1.57,4.0,6.0,La Liga,2017/18
09/09/17,Valencia,Ath Madrid,0,0,D,11,13,0,4,3.6,3.2,2.2,La Liga,2017/18
10/09/17,Ath Bilbao,Girona,2,0,H,7,11,4,7,1.67,3.75,5.5,La Liga,2017/18
10/09/17,Celta,Alaves,1,0,H,20,5,3,3,1.67,3.75,5.25,La Liga,2017/18
10/09/17,La Coruna,Sociedad,2,4,A,11,15,4,4,2.75,3.3,2.6,La Liga,2017/18
10/09/17,Villarreal,Betis,3,1,H,14,8,7,3,1.85,3.6,4.33,La Liga,2017/18
11/09/17,Malaga,Las Palmas,1,3,A,14,10,6,8,2.0,3.5,3.8,La Liga,2017/18
15/09/17,Eibar,Leganes,1,0,H,10,5,4,2,2.05,3.25,4.0,La Liga,2017/18
16/09/17,Ath Madrid,Malaga,1,0,H,17,9,4,4,1.22,6.0,15.0,La Liga,2017/18
16/09/17,Betis,La Coruna,2,1,H,17,11,7,3,1.83,3.6,4.5,La Liga,2017/18
16/09/17,Getafe,Barcelona,1,2,A,13,7,4,5,11.0,6.5,1.25,La Liga,2017/18
16/09/17,Levante,Valencia,1,1,D,9,13,2,5,3.25,3.25,2.3,La Liga,2017/18
17/09/17,Alaves,Villarreal,0,3,A,16,16,2,6,3.1,3.1,2.4,La Liga,2017/18
17/09/17,Girona,Sevilla,0,1,A,13,13,0,8,3.3,3.25,2.3,La Liga,2017/18
17/09/17,Las Palmas,Ath Bilbao,1,0,H,12,11,3,5,2.75,3.4,2.55,La Liga,2017/18
17/09/17,Sociedad,Real Madrid,1,3,A,10,18,5,6,5.0,4.0,1.67,La Liga,2017/18
18/09/17,Espanol,Celta,2,1,H,9,11,3,1,2.3,3.3,3.2,La Liga,2017/18
19/09/17,Barcelona,Eibar,6,1,H,11,13,10,4,1.11,10.0,15.0,La Liga,2017/18
19/09/17,Valencia,Malaga,5,0,H,16,11,11,2,1.5,4.0,7.0,La Liga,2017/18
20/09/17,Ath Bilbao,Ath Madrid,1,2,A,12,16,7,9,3.4,3.2,2.25,La Liga,2017/18
20/09/17,La Coruna,Alaves,1,0,H,15,8,3,3,1.91,3.3,4.5,La Liga,2017/18
20/09/17,Leganes,Girona,0,0,D,12,10,1,0,2.15,3.2,3.7,La Liga,2017/18
20/09/17,Real Madrid,Betis,0,1,A,27,12,7,4,1.13,10.0,17.0,La Liga,2017/18
20/09/17,Sevilla,Las Palmas,1,0,H,14,6,9,0,1.4,4.75,7.5,La Liga,2017/18
21/09/17,Celta,Getafe,1,1,D,8,10,4,3,1.8,3.6,4.5,La Liga,2017/18
21/09/17,Levante,Sociedad,3,0,H,13,13,9,3,3.25,3.25,2.3,La Liga,2017/18
21/09/17,Villarreal,Espanol,0,0,D,14,10,5,3,1.73,3.5,5.5,La Liga,2017/18
23/09/17,Alaves,Real Madrid,1,2,A,8,21,3,7,17.0,7.5,1.17,La Liga,2017/18
23/09/17,Ath Madrid,Sevilla,2,0,H,13,11,4,0,1.57,4.0,6.5,La Liga,2017/18
23/09/17,Girona,Barcelona,0,3,A,13,9,2,5,12.0,6.0,1.25,La Liga,2017/18
23/09/17,Malaga,Ath Bilbao,3,3,D,15,8,7,7,2.9,3.3,2.4,La Liga,2017/18
24/09/17,Eibar,Celta,0,4,A,9,10,0,6,2.2,3.3,3.4,La Liga,2017/18
24/09/17,Espanol,La Coruna,4,1,H,17,21,5,6,1.95,3.5,4.0,La Liga,2017/18
24/09/17,Getafe,Villarreal,4,0,H,17,6,8,1,2.88,3.1,2.63,La Liga,2017/18
24/09/17,Las Palmas,Leganes,0,2,A,8,9,3,3,2.05,3.25,3.8,La Liga,2017/18
24/09/17,Sociedad,Valencia,2,3,A,18,13,6,4,2.3,3.4,3.1,La Liga,2017/18
25/09/17,Betis,Levante,4,0,H,14,8,6,1,1.85,3.5,4.5,La Liga,2017/18
29/09/17,Celta,Girona,3,3,D,16,10,9,6,1.67,3.6,5.75,La Liga,2017/18
30/09/17,La Coruna,Getafe,2,1,H,15,10,9,3,2.25,3.25,3.4,La Liga,2017/18
30/09/17,Leganes,Ath Madrid,0,0,D,7,11,3,2,7.5,3.75,1.55,La Liga,2017/18
30/09/17,Levante,Alaves,0,2,A,13,8,0,3,1.83,3.5,4.5,La Liga,2017/18
