date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
17/08/2018,Betis,Levante,0,3,A,22,6,8,4,1.66,4.0,5.0,La Liga,2018/19
17/08/2018,Girona,Valladolid,0,0,D,13,2,1,1,1.75,3.6,5.0,La Liga,2018/19
18/08/2018,Barcelona,Alaves,3,0,H,25,3,9,0,1.11,10.0,21.0,La Liga,2018/19
18/08/2018,Celta,Espanol,1,1,D,12,14,2,5,1.85,3.5,4.5,La Liga,2018/19
18/08/2018,Villarreal,Sociedad,1,2,A,16,8,7,4,2.04,3.4,3.8,La Liga,2018/19
19/08/2018,Eibar,Huesca,1,2,A,18,8,6,6,1.66,3.75,5.5,La Liga,2018/19
19/08/2018,Real Madrid,Getafe,2,0,H,10,4,3,1,1.2,7.0,13.0,La Liga,2018/19
19/08/2018,Vallecano,Sevilla,1,4,A,13,17,2,8,3.25,3.6,2.14,La Liga,2018/19
20/08/2018,Ath Bilbao,Leganes,2,1,H,17,12,5,2,1.75,3.3,5.5,La Liga,2018/19
20/08/2018,Valencia,Ath Madrid,1,1,D,13,9,4,3,3.0,3.2,2.5,La Liga,2018/19
24/08/2018,Getafe,Eibar,2,0,H,7,9,4,0,1.95,3.2,4.33,La Liga,2018/19
24/08/2018,Leganes,Sociedad,2,2,D,18,7,5,6,3.5,3.3,2.1,La Liga,2018/19
25/08/2018,Alaves,Betis,0,0,D,16,13,4,5,2.8,3.25,2.6,La Liga,2018/19
25/08/2018,Ath Madrid,Vallecano,1,0,H,9,13,2,3,1.16,7.0,21.0,La Liga,2018/19
25/08/2018,Valladolid,Barcelona,0,1,A,7,10,4,5,17.0,7.5,1.16,La Liga,2018/19
26/08/2018,Espanol,Valencia,2,0,H,19,16,9,4,3.25,3.2,2.37,La Liga,2018/19
26/08/2018,Girona,Real Madrid,1,4,A,10,20,5,8,8.0,5.5,1.36,La Liga,2018/19
26/08/2018,Sevilla,Villarreal,0,0,D,19,14,2,6,1.72,4.2,4.33,La Liga,2018/19
27/08/2018,Ath Bilbao,Huesca,2,2,D,14,9,4,4,1.61,3.6,6.5,La Liga,2018/19
27/08/2018,Levante,Celta,1,2,A,15,21,6,9,2.4,3.25,3.0,La Liga,2018/19
31/08/2018,Eibar,Sociedad,2,1,H,8,7,2,2,2.75,3.25,2.62,La Liga,2018/19
31/08/2018,Getafe,Valladolid,0,0,D,12,7,3,4,1.9,3.2,4.75,La Liga,2018/19
31/08/2018,Villarreal,Girona,0,1,A,13,14,3,6,1.57,4.0,6.0,La Liga,2018/19
01/09/2018,Celta,Ath Madrid,2,0,H,10,9,4,0,5.5,3.4,1.75,La Liga,2018/19
01/09/2018,Real Madrid,Leganes,4,1,H,17,8,8,3,1.12,9.0,21.0,La Liga,2018/19
02/09/2018,Alaves,Espanol,2,1,H,8,11,5,7,2.9,3.1,2.54,La Liga,2018/19
02/09/2018,Barcelona,Huesca,8,2,H,31,7,15,3,1.08,11.0,29.0,La Liga,2018/19
02/09/2018,Betis,Sevilla,1,0,H,11,8,3,2,2.8,3.5,2.45,La Liga,2018/19
02/09/2018,Levante,Valencia,2,2,D,13,18,4,5,3.75,3.4,2.0,La Liga,2018/19
14/09/2018,Huesca,Vallecano,0,1,A,14,14,4,2,2.14,3.5,3.4,La Liga,2018/19
15/09/2018,Ath Bilbao,Real Madrid,1,1,D,11,16,3,6,6.0,4.33,1.53,La Liga,2018/19
15/09/2018,Ath Madrid,Eibar,1,1,D,18,12,9,3,1.36,4.33,12.0,La Liga,2018/19
15/09/2018,Sociedad,Barcelona,1,2,A,8,12,5,6,7.0,5.25,1.4,La Liga,2018/19
15/09/2018,Valencia,Betis,0,0,D,12,11,2,6,1.75,3.75,4.75,La Liga,2018/19
16/09/2018,Espanol,Levante,1,0,H,22,16,9,4,1.72,3.6,5.25,La Liga,2018/19
16/09/2018,Leganes,Villarreal,0,1,A,16,9,3,3,3.0,3.1,2.54,La Liga,2018/19
16/09/2018,Sevilla,Getafe,0,2,A,15,10,1,5,1.55,4.0,7.0,La Liga,2018/19
16/09/2018,Valladolid,Alaves,0,1,A,15,10,5,4,2.2,3.1,3.6,La Liga,2018/19
17/09/2018,Girona,Celta,3,2,H,11,20,6,7,2.4,3.3,3.0,La Liga,2018/19
21/09/2018,Huesca,Sociedad,0,1,A,13,7,3,1,3.6,3.4,2.1,La Liga,2018/19
22/09/2018,Celta,Valladolid,3,3,D,12,14,5,4,1.75,3.5,5.25,La Liga,2018/19
22/09/2018,Eibar,Leganes,1,0,H,14,4,3,2,2.04,3.2,4.0,La Liga,2018/19
22/09/2018,Getafe,Ath Madrid,0,2,A,11,7,2,4,5.0,3.3,1.8,La Liga,2018/19
22/09/2018,Real Madrid,Espanol,1,0,H,19,10,5,3,1.18,7.0,15.0,La Liga,2018/19
22/09/2018,Vallecano,Alaves,1,5,A,13,11,4,7,2.04,3.4,3.6,La Liga,2018/19
23/09/2018,Barcelona,Girona,2,2,D,22,7,11,6,1.08,11.0,21.0,La Liga,2018/19
23/09/2018,Betis,Ath Bilbao,2,2,D,15,7,3,4,2.14,3.3,3.6,La Liga,2018/19
23/09/2018,Levante,Sevilla,2,6,A,19,20,10,9,3.5,3.6,2.04,La Liga,2018/19
23/09/2018,Villarreal,Valencia,0,0,D,11,12,1,2,2.25,3.25,3.3,La Liga,2018/19
25/09/2018,Ath Madrid,Huesca,3,0,H,17,8,5,1,1.22,6.0,15.0,La Liga,2018/19
25/09/2018,Espanol,Eibar,1,0,H,9,8,5,1,1.9,3.3,4.5,La Liga,2018/19
25/09/2018,Sociedad,Vallecano,2,2,D,16,11,6,6,1.61,4.0,5.5,La Liga,2018/19
26/09/2018,Ath Bilbao,Villarreal,0,3,A,12,19,2,6,2.25,3.3,3.3,La Liga,2018/19
26/09/2018,Leganes,Barcelona,2,1,H,10,9,6,5,12.0,6.0,1.25,La Liga,2018/19
26/09/2018,Sevilla,Real Madrid,3,0,H,16,21,7,3,4.33,4.2,1.72,La Liga,2018/19
26/09/2018,Valencia,Celta,1,1,D,14,9,5,3,1.66,4.0,4.75,La Liga,2018/19
27/09/2018,Alaves,Getafe,1,1,D,15,13,2,5,2.8,3.0,2.75,La Liga,2018/19
27/09/2018,Girona,Betis,0,1,A,8,14,2,6,2.5,3.3,2.87,La Liga,2018/19
27/09/2018,Valladolid,Levante,2,1,H,20,9,6,4,2.04,3.5,3.6,La Liga,2018/19
28/09/2018,Vallecano,Espanol,2,2,D,11,12,5,5,2.8,3.3,2.6,La Liga,2018/19
29/09/2018,Barcelona,Ath Bilbao,1,1,D,20,8,8,2,1.16,7.5,17.0,La Liga,2018/19
29/09/2018,Eibar,Sevilla,1,3,A,15,7,2,5,3.3,3.4,2.2,La Liga,2018/19
29/09/2018,Real Madrid,Ath Madrid,0,0,D,15,8,6,3,2.0,3.5,3.75,La Liga,2018/19
29/09/2018,Sociedad,Valencia,0,1,A,10,9,5,2,2.2,3.4,3.2,La Liga,2018/19
30/09/2018,Betis,Leganes,1,0,H,17,11,4,5,1.64,3.8,5.5,La Liga,2018/19
30/09/2018,Huesca,Girona,1,1,D,13,14,6,4,2.5,3.3,2.9,La Liga,2018/19
30/09/2018,Levante,Alaves,2,1,H,14,14,4,2,2.14,3.5,3.3,La Liga,2018/19
30/09/2018,Villarreal,Valladolid,0,1,A,27,9,7,3,1.53,4.0,6.5,La Liga,2018/19
01/10/2018,Celta,Getafe,1,1,D,8,12,2,4,2.0,3.5,3.8,La Liga,2018/19
05/10/2018,Ath Bilbao,Sociedad,1,3,A,13,6,5,3,2.04,3.4,3.8,La Liga,2018/19
06/10/2018,Alaves,Real Madrid,1,0,H,8,13,4,6,9.0,4.75,1.36,La Liga,2018/19
06/10/2018,Getafe,Levante,0,1,A,15,12,4,3,1.72,3.6,5.25,La Liga,2018/19
06/10/2018,Girona,Eibar,2,3,A,10,12,3,4,2.1,3.2,3.8,La Liga,2018/19
06/10/2018,Leganes,Vallecano,1,0,H,13,6,4,2,2.0,3.3,4.0,La Liga,2018/19
07/10/2018,Ath Madrid,Betis,1,0,H,13,5,5,0,1.44,4.0,9.0,La Liga,2018/19
