date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
12/08/2022,Osasuna,Sevilla,2,1,H,12,10,5,3,3.2,3.1,2.4,La Liga,2022/23
13/08/2022,Celta,Espanol,2,2,D,8,10,3,2,1.8,3.75,4.75,La Liga,2022/23
13/08/2022,Valladolid,Villarreal,0,3,A,12,10,6,4,3.9,3.6,1.9,La Liga,2022/23
13/08/2022,Barcelona,Vallecano,0,0,D,21,4,6,2,1.22,7.0,12.0,La Liga,2022/23
14/08/2022,Cadiz,Sociedad,0,1,A,7,15,2,7,3.6,3.2,2.2,La Liga,2022/23
14/08/2022,Valencia,Girona,1,0,H,17,5,2,1,1.85,3.4,4.5,La Liga,2022/23
14/08/2022,Almeria,Real Madrid,1,2,A,10,29,6,15,7.5,5.0,1.4,La Liga,2022/23
15/08/2022,Ath Bilbao,Mallorca,0,0,D,23,6,6,2,1.6,3.75,6.5,La Liga,2022/23
15/08/2022,Getafe,Ath Madrid,0,3,A,10,12,0,5,5.0,3.1,1.9,La Liga,2022/23
15/08/2022,Betis,Elche,3,0,H,17,4,8,2,1.44,4.5,7.0,La Liga,2022/23
19/08/2022,Espanol,Vallecano,0,2,A,13,8,1,3,2.45,3.1,3.1,La Liga,2022/23
19/08/2022,Sevilla,Valladolid,1,1,D,18,6,2,3,1.5,4.2,6.5,La Liga,2022/23
20/08/2022,Osasuna,Cadiz,2,0,H,16,9,3,2,1.9,3.25,4.5,La Liga,2022/23
20/08/2022,Mallorca,Betis,1,2,A,13,8,7,3,3.1,3.2,2.4,La Liga,2022/23
20/08/2022,Celta,Real Madrid,1,4,A,15,16,2,7,4.5,4.2,1.66,La Liga,2022/23
21/08/2022,Ath Bilbao,Valencia,1,0,H,12,10,2,0,1.8,3.75,4.5,La Liga,2022/23
21/08/2022,Ath Madrid,Villarreal,0,2,A,13,19,5,5,1.85,3.5,4.33,La Liga,2022/23
21/08/2022,Sociedad,Barcelona,1,4,A,10,15,5,7,3.3,3.6,2.1,La Liga,2022/23
22/08/2022,Elche,Almeria,1,1,D,13,12,3,7,2.5,3.2,3.0,La Liga,2022/23
22/08/2022,Girona,Getafe,3,1,H,12,7,6,3,2.8,2.9,2.9,La Liga,2022/23
26/08/2022,Girona,Celta,0,1,A,11,11,3,6,2.8,3.1,2.75,La Liga,2022/23
26/08/2022,Betis,Osasuna,1,0,H,7,12,1,2,1.8,3.6,4.75,La Liga,2022/23
27/08/2022,Elche,Sociedad,0,1,A,12,9,5,5,3.6,3.2,2.15,La Liga,2022/23
27/08/2022,Vallecano,Mallorca,0,2,A,15,9,0,4,2.05,3.25,4.0,La Liga,2022/23
27/08/2022,Almeria,Sevilla,2,1,H,11,13,5,5,3.6,3.25,2.15,La Liga,2022/23
28/08/2022,Getafe,Villarreal,0,0,D,8,11,2,6,4.33,3.4,1.85,La Liga,2022/23
28/08/2022,Barcelona,Valladolid,4,0,H,24,8,9,3,1.14,8.5,15.0,La Liga,2022/23
28/08/2022,Espanol,Real Madrid,1,3,A,15,19,4,6,6.5,4.75,1.45,La Liga,2022/23
29/08/2022,Cadiz,Ath Bilbao,0,4,A,9,20,3,8,3.6,3.2,2.15,La Liga,2022/23
29/08/2022,Valencia,Ath Madrid,0,1,A,12,13,2,7,4.0,3.3,2.0,La Liga,2022/23
02/09/2022,Celta,Cadiz,3,0,H,9,7,5,0,1.66,3.6,5.5,La Liga,2022/23
03/09/2022,Mallorca,Girona,1,1,D,10,10,4,4,2.15,3.2,3.6,La Liga,2022/23
03/09/2022,Real Madrid,Betis,2,1,H,22,8,4,4,1.4,5.25,6.5,La Liga,2022/23
03/09/2022,Sociedad,Ath Madrid,1,1,D,12,15,5,7,2.9,3.2,2.55,La Liga,2022/23
03/09/2022,Sevilla,Barcelona,0,3,A,9,18,4,7,4.5,3.6,1.8,La Liga,2022/23
04/09/2022,Osasuna,Vallecano,2,1,H,13,5,6,3,2.0,3.1,4.33,La Liga,2022/23
04/09/2022,Ath Bilbao,Espanol,0,1,A,17,9,2,2,1.53,4.0,6.5,La Liga,2022/23
04/09/2022,Villarreal,Elche,4,0,H,18,7,10,0,1.33,5.0,10.0,La Liga,2022/23
04/09/2022,Valencia,Getafe,5,1,H,24,7,9,4,1.9,3.2,4.5,La Liga,2022/23
05/09/2022,Valladolid,Almeria,1,0,H,14,12,6,1,2.3,3.3,3.1,La Liga,2022/23
09/09/2022,Girona,Valladolid,2,1,H,14,14,5,4,2.25,3.25,3.4,La Liga,2022/23
10/09/2022,Vallecano,Valencia,2,1,H,14,17,6,4,2.62,3.1,2.87,La Liga,2022/23
